Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:15:37.680000,VER,1,,1.0,1.0,0 days 00:13:24.170000,,,0 days 00:00:48.801000,0 days 00:00:50.953000,,0 days 00:14:46.966000,0 days 00:15:37.793000,170.0,230.0,250.0,141.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 00:13:24.170000,2023-07-07 15:05:59.071,1,,False,,False,False
0 days 00:17:07.230000,VER,1,,2.0,1.0,,,0 days 00:00:28.201000,0 days 00:00:36.214000,0 days 00:00:25.135000,0 days 00:16:05.881000,0 days 00:16:42.095000,0 days 00:17:07.230000,322.0,266.0,242.0,324.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 00:15:37.680000,2023-07-07 15:08:12.581,1,,False,,False,True
0 days 00:19:39.447000,VER,1,,3.0,1.0,,,0 days 00:00:55.208000,0 days 00:01:00.400000,0 days 00:00:36.549000,0 days 00:18:02.745000,0 days 00:19:03.072000,0 days 00:19:39.447000,142.0,179.0,195.0,209.0,False,MEDIUM,3.0,True,Red Bull Racing,0 days 00:17:07.230000,2023-07-07 15:09:42.131,1,,False,,False,False
0 days 00:21:41.763000,VER,1,,4.0,1.0,,,0 days 00:00:36.192000,0 days 00:00:48.816000,0 days 00:00:37.308000,0 days 00:20:15.639000,0 days 00:21:04.455000,0 days 00:21:41.763000,265.0,235.0,251.0,107.0,False,MEDIUM,4.0,True,Red Bull Racing,0 days 00:19:39.447000,2023-07-07 15:12:14.348,1,,False,,False,True
0 days 00:23:21.173000,VER,1,,5.0,1.0,,0 days 00:23:15.148000,0 days 00:00:28.321000,0 days 00:00:39.289000,0 days 00:00:31.800000,0 days 00:22:10.084000,0 days 00:22:49.373000,0 days 00:23:21.173000,322.0,146.0,,248.0,False,MEDIUM,5.0,True,Red Bull Racing,0 days 00:21:41.763000,2023-07-07 15:14:16.664,1,,False,,False,False
0 days 00:33:08.078000,VER,1,,6.0,2.0,0 days 00:31:19.611000,,,0 days 00:00:46.384000,0 days 00:00:28.499000,,0 days 00:32:39.829000,0 days 00:33:08.188000,257.0,235.0,253.0,259.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:23:21.173000,2023-07-07 15:15:56.074,1,,False,,False,False
0 days 00:34:36.156000,VER,1,,7.0,2.0,,,0 days 00:00:27.838000,0 days 00:00:35.716000,0 days 00:00:24.524000,0 days 00:33:35.916000,0 days 00:34:11.632000,0 days 00:34:36.156000,323.0,268.0,248.0,325.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:33:08.078000,2023-07-07 15:25:42.979,1,,False,,False,True
0 days 00:36:26.069000,VER,1,,8.0,2.0,,0 days 00:36:20.107000,0 days 00:00:37.575000,0 days 00:00:44.802000,0 days 00:00:27.536000,0 days 00:35:13.731000,0 days 00:35:58.533000,0 days 00:36:26.069000,240.0,227.0,,264.0,False,SOFT,3.0,True,Red Bull Racing,0 days 00:34:36.156000,2023-07-07 15:27:11.057,1,,False,,False,False
0 days 00:47:58.244000,VER,1,,9.0,3.0,0 days 00:46:24.741000,,,0 days 00:00:39.088000,0 days 00:00:26.014000,,0 days 00:47:32.428000,0 days 00:47:58.256000,287.0,253.0,243.0,298.0,False,SOFT,4.0,False,Red Bull Racing,0 days 00:36:26.069000,2023-07-07 15:29:00.970,1,,False,,False,False
0 days 00:49:31.247000,VER,1,,10.0,3.0,,,0 days 00:00:29.360000,0 days 00:00:37.871000,0 days 00:00:25.772000,0 days 00:48:27.604000,0 days 00:49:05.475000,0 days 00:49:31.247000,296.0,255.0,242.0,300.0,False,SOFT,5.0,False,Red Bull Racing,0 days 00:47:58.244000,2023-07-07 15:40:33.145,1,,False,,False,True
0 days 00:51:04.368000,VER,1,,11.0,3.0,,,0 days 00:00:29.456000,0 days 00:00:37.909000,0 days 00:00:25.756000,0 days 00:50:00.703000,0 days 00:50:38.612000,0 days 00:51:04.368000,300.0,256.0,241.0,299.0,False,SOFT,6.0,False,Red Bull Racing,0 days 00:49:31.247000,2023-07-07 15:42:06.148,1,,False,,False,True
0 days 00:52:37.706000,VER,1,,12.0,3.0,,,0 days 00:00:29.588000,0 days 00:00:37.875000,0 days 00:00:25.875000,0 days 00:51:33.956000,0 days 00:52:11.831000,0 days 00:52:37.706000,297.0,254.0,241.0,300.0,False,SOFT,7.0,False,Red Bull Racing,0 days 00:51:04.368000,2023-07-07 15:43:39.269,1,,False,,False,True
0 days 00:54:11.160000,VER,1,,13.0,3.0,,,0 days 00:00:29.623000,0 days 00:00:37.924000,0 days 00:00:25.907000,0 days 00:53:07.329000,0 days 00:53:45.253000,0 days 00:54:11.160000,300.0,256.0,241.0,309.0,False,SOFT,8.0,False,Red Bull Racing,0 days 00:52:37.706000,2023-07-07 15:45:12.607,1,,False,,False,True
0 days 00:55:46.169000,VER,1,,14.0,3.0,,,0 days 00:00:29.725000,0 days 00:00:38.066000,0 days 00:00:27.218000,0 days 00:54:40.885000,0 days 00:55:18.951000,0 days 00:55:46.169000,298.0,254.0,239.0,298.0,False,SOFT,9.0,False,Red Bull Racing,0 days 00:54:11.160000,2023-07-07 15:46:46.061,1,,False,,False,True
0 days 00:57:20.454000,VER,1,,15.0,3.0,,,0 days 00:00:29.748000,0 days 00:00:38.109000,0 days 00:00:26.428000,0 days 00:56:15.917000,0 days 00:56:54.026000,0 days 00:57:20.454000,300.0,255.0,239.0,299.0,False,SOFT,10.0,False,Red Bull Racing,0 days 00:55:46.169000,2023-07-07 15:48:21.070,1,,False,,False,True
0 days 00:58:54.873000,VER,1,,16.0,3.0,,,0 days 00:00:29.819000,0 days 00:00:38.482000,0 days 00:00:26.118000,0 days 00:57:50.273000,0 days 00:58:28.755000,0 days 00:58:54.873000,299.0,254.0,240.0,298.0,False,SOFT,11.0,False,Red Bull Racing,0 days 00:57:20.454000,2023-07-07 15:49:55.355,1,,False,,False,True
0 days 01:00:27.601000,VER,1,,17.0,3.0,,0 days 01:00:21.607000,0 days 00:00:29.644000,0 days 00:00:37.951000,0 days 00:00:25.133000,0 days 00:59:24.517000,0 days 01:00:02.468000,0 days 01:00:27.601000,300.0,256.0,,301.0,False,SOFT,12.0,False,Red Bull Racing,0 days 00:58:54.873000,2023-07-07 15:51:29.774,1,,False,,False,False
0 days 01:02:23.005000,VER,1,,18.0,4.0,0 days 01:00:50.653000,,0 days 00:00:50.953000,0 days 00:00:38.420000,0 days 00:00:26.031000,0 days 01:01:18.554000,0 days 01:01:56.974000,0 days 01:02:23.005000,296.0,255.0,243.0,298.0,False,MEDIUM,6.0,False,Red Bull Racing,0 days 01:00:27.601000,2023-07-07 15:53:02.502,1,,False,,False,False
0 days 01:03:56.883000,VER,1,,19.0,4.0,,,0 days 00:00:29.463000,0 days 00:00:38.392000,0 days 00:00:26.023000,0 days 01:02:52.468000,0 days 01:03:30.860000,0 days 01:03:56.883000,302.0,255.0,244.0,301.0,False,MEDIUM,7.0,False,Red Bull Racing,0 days 01:02:23.005000,2023-07-07 15:54:57.906,1,,False,,False,True
0 days 01:05:30.601000,VER,1,,20.0,4.0,,,0 days 00:00:29.557000,0 days 00:00:38.191000,0 days 00:00:25.970000,0 days 01:04:26.440000,0 days 01:05:04.631000,0 days 01:05:30.601000,299.0,257.0,243.0,297.0,False,MEDIUM,8.0,False,Red Bull Racing,0 days 01:03:56.883000,2023-07-07 15:56:31.784,1,,False,,False,True
0 days 01:07:03.759000,VER,1,,21.0,4.0,,,0 days 00:00:29.562000,0 days 00:00:38.097000,0 days 00:00:25.499000,0 days 01:06:00.163000,0 days 01:06:38.260000,0 days 01:07:03.759000,300.0,259.0,242.0,319.0,False,MEDIUM,9.0,False,Red Bull Racing,0 days 01:05:30.601000,2023-07-07 15:58:05.502,1,,False,,False,True
0 days 01:08:41.490000,VER,1,,22.0,4.0,,,0 days 00:00:29.503000,0 days 00:00:38.097000,0 days 00:00:30.131000,0 days 01:07:33.262000,0 days 01:08:11.359000,0 days 01:08:41.490000,299.0,255.0,245.0,300.0,False,MEDIUM,10.0,False,Red Bull Racing,0 days 01:07:03.759000,2023-07-07 15:59:38.660,1,,False,,False,True
0 days 01:10:14.547000,VER,1,,23.0,4.0,,,0 days 00:00:29.320000,0 days 00:00:37.929000,0 days 00:00:25.808000,0 days 01:09:10.810000,0 days 01:09:48.739000,0 days 01:10:14.547000,303.0,258.0,243.0,300.0,False,MEDIUM,11.0,False,Red Bull Racing,0 days 01:08:41.490000,2023-07-07 16:01:16.391,1,,False,,False,True
0 days 01:11:51.820000,VER,1,,24.0,4.0,,,0 days 00:00:29.468000,0 days 00:00:38.019000,0 days 00:00:29.786000,0 days 01:10:44.015000,0 days 01:11:22.034000,0 days 01:11:51.820000,299.0,256.0,244.0,298.0,False,MEDIUM,12.0,False,Red Bull Racing,0 days 01:10:14.547000,2023-07-07 16:02:49.448,1,,False,,False,True
0 days 01:13:24.827000,VER,1,,25.0,4.0,,,0 days 00:00:29.371000,0 days 00:00:37.779000,0 days 00:00:25.857000,0 days 01:12:21.191000,0 days 01:12:58.970000,0 days 01:13:24.827000,302.0,255.0,243.0,300.0,False,MEDIUM,13.0,False,Red Bull Racing,0 days 01:11:51.820000,2023-07-07 16:04:26.721,12,,False,,False,True
0 days 01:15:49.404000,VER,1,,26.0,4.0,,,0 days 00:00:38.348000,0 days 00:00:55.812000,0 days 00:00:50.417000,0 days 01:14:03.175000,0 days 01:14:58.987000,0 days 01:15:49.404000,188.0,159.0,48.0,181.0,False,MEDIUM,14.0,False,Red Bull Racing,0 days 01:13:24.827000,2023-07-07 16:05:59.728,21,,False,,False,True
0 days 01:18:00.889000,VER,1,,27.0,4.0,,0 days 01:17:54.860000,0 days 00:01:04.941000,0 days 00:00:40.538000,0 days 00:00:26.006000,0 days 01:16:54.345000,0 days 01:17:34.883000,0 days 01:18:00.889000,262.0,240.0,,283.0,False,MEDIUM,15.0,False,Red Bull Racing,0 days 01:15:49.404000,2023-07-07 16:08:24.305,1,,False,,False,False
0 days 00:14:19.224000,GAS,10,,1.0,1.0,0 days 00:12:31.452000,,,0 days 00:00:46.506000,0 days 00:00:28.766000,,0 days 00:13:50.685000,0 days 00:14:19.310000,293.0,219.0,251.0,288.0,False,HARD,1.0,True,Alpine,0 days 00:12:31.452000,2023-07-07 15:05:06.353,1,,False,,False,False
0 days 00:15:49.741000,GAS,10,,2.0,1.0,,,0 days 00:00:28.488000,0 days 00:00:36.811000,0 days 00:00:25.218000,0 days 00:14:47.712000,0 days 00:15:24.523000,0 days 00:15:49.741000,313.0,262.0,245.0,314.0,True,HARD,2.0,True,Alpine,0 days 00:14:19.224000,2023-07-07 15:06:54.125,1,,False,,False,True
0 days 00:18:06.200000,GAS,10,,3.0,1.0,,,0 days 00:00:47.298000,0 days 00:00:58.891000,0 days 00:00:30.270000,0 days 00:16:37.039000,0 days 00:17:35.930000,0 days 00:18:06.200000,150.0,194.0,250.0,278.0,False,HARD,3.0,True,Alpine,0 days 00:15:49.741000,2023-07-07 15:08:24.642,1,,False,,False,True
0 days 00:19:36.322000,GAS,10,,4.0,1.0,,,0 days 00:00:28.518000,0 days 00:00:36.564000,0 days 00:00:25.040000,0 days 00:18:34.718000,0 days 00:19:11.282000,0 days 00:19:36.322000,319.0,260.0,248.0,320.0,True,HARD,4.0,True,Alpine,0 days 00:18:06.200000,2023-07-07 15:10:41.101,1,,False,,False,True
0 days 00:21:56.863000,GAS,10,,5.0,1.0,,,0 days 00:00:40.618000,0 days 00:01:01.443000,0 days 00:00:38.480000,0 days 00:20:16.940000,0 days 00:21:18.383000,0 days 00:21:56.863000,168.0,160.0,250.0,263.0,False,HARD,5.0,True,Alpine,0 days 00:19:36.322000,2023-07-07 15:12:11.223,1,,False,,False,True
0 days 00:23:26.563000,GAS,10,,6.0,1.0,,,0 days 00:00:28.547000,0 days 00:00:36.416000,0 days 00:00:24.737000,0 days 00:22:25.410000,0 days 00:23:01.826000,0 days 00:23:26.563000,315.0,263.0,249.0,315.0,True,HARD,6.0,True,Alpine,0 days 00:21:56.863000,2023-07-07 15:14:31.764,1,,False,,False,True
0 days 00:25:10.824000,GAS,10,,7.0,1.0,,0 days 00:25:04.709000,0 days 00:00:32.794000,0 days 00:00:44.907000,0 days 00:00:26.560000,0 days 00:23:59.357000,0 days 00:24:44.264000,0 days 00:25:10.824000,273.0,232.0,,276.0,False,HARD,7.0,True,Alpine,0 days 00:23:26.563000,2023-07-07 15:16:01.464,1,,False,,False,False
0 days 00:36:35.092000,GAS,10,,8.0,2.0,0 days 00:34:46.452000,,,0 days 00:00:47.097000,0 days 00:00:29.016000,,0 days 00:36:06.280000,0 days 00:36:35.154000,287.0,216.0,254.0,293.0,False,SOFT,1.0,True,Alpine,0 days 00:25:10.824000,2023-07-07 15:17:45.725,1,,False,,False,False
0 days 00:38:03.981000,GAS,10,,9.0,2.0,,,0 days 00:00:27.998000,0 days 00:00:36.245000,0 days 00:00:24.646000,0 days 00:37:03.090000,0 days 00:37:39.335000,0 days 00:38:03.981000,320.0,262.0,248.0,322.0,True,SOFT,2.0,True,Alpine,0 days 00:36:35.092000,2023-07-07 15:29:09.993,1,,False,,False,True
0 days 00:40:33.948000,GAS,10,,10.0,2.0,,0 days 00:40:27.558000,0 days 00:00:45.914000,0 days 00:01:06.820000,0 days 00:00:37.233000,0 days 00:38:49.895000,0 days 00:39:56.715000,0 days 00:40:33.948000,137.0,145.0,,189.0,False,SOFT,3.0,True,Alpine,0 days 00:38:03.981000,2023-07-07 15:30:38.882,1,,False,,False,False
0 days 00:43:05.500000,GAS,10,,11.0,3.0,0 days 00:41:01.448000,,0 days 00:01:04.210000,0 days 00:00:56.917000,0 days 00:00:30.376000,0 days 00:41:38.323000,0 days 00:42:35.291000,0 days 00:43:05.509000,224.0,199.0,251.0,284.0,False,SOFT,4.0,False,Alpine,0 days 00:40:33.948000,2023-07-07 15:33:08.849,1,,False,,False,False
0 days 00:44:34.899000,GAS,10,,12.0,3.0,,,0 days 00:00:28.261000,0 days 00:00:36.267000,0 days 00:00:24.871000,0 days 00:43:33.761000,0 days 00:44:10.028000,0 days 00:44:34.899000,314.0,262.0,249.0,314.0,False,SOFT,5.0,False,Alpine,0 days 00:43:05.500000,2023-07-07 15:35:40.401,1,,False,,False,True
0 days 00:46:20.709000,GAS,10,,13.0,3.0,,0 days 00:46:14.648000,0 days 00:00:34.151000,0 days 00:00:44.779000,0 days 00:00:26.880000,0 days 00:45:09.050000,0 days 00:45:53.829000,0 days 00:46:20.709000,250.0,233.0,,277.0,False,SOFT,6.0,False,Alpine,0 days 00:44:34.899000,2023-07-07 15:37:09.800,1,,False,,False,False
0 days 00:55:56.231000,GAS,10,,14.0,4.0,0 days 00:54:21.845000,,,0 days 00:00:39.006000,0 days 00:00:27.008000,,0 days 00:55:29.376000,0 days 00:55:56.266000,291.0,249.0,240.0,290.0,False,HARD,8.0,False,Alpine,0 days 00:46:20.709000,2023-07-07 15:38:55.610,1,,False,,False,False
0 days 00:57:30.774000,GAS,10,,15.0,4.0,,,0 days 00:00:29.528000,0 days 00:00:38.509000,0 days 00:00:26.506000,0 days 00:56:25.759000,0 days 00:57:04.268000,0 days 00:57:30.774000,290.0,250.0,241.0,290.0,False,HARD,9.0,False,Alpine,0 days 00:55:56.231000,2023-07-07 15:48:31.132,1,,False,,False,True
0 days 00:59:05.323000,GAS,10,,16.0,4.0,,,0 days 00:00:29.609000,0 days 00:00:38.511000,0 days 00:00:26.429000,0 days 00:58:00.383000,0 days 00:58:38.894000,0 days 00:59:05.323000,291.0,249.0,242.0,290.0,False,HARD,10.0,False,Alpine,0 days 00:57:30.774000,2023-07-07 15:50:05.675,1,,False,,False,True
0 days 01:00:39.609000,GAS,10,,17.0,4.0,,,0 days 00:00:29.691000,0 days 00:00:38.301000,0 days 00:00:26.294000,0 days 00:59:35.014000,0 days 01:00:13.315000,0 days 01:00:39.609000,,252.0,241.0,292.0,False,HARD,11.0,False,Alpine,0 days 00:59:05.323000,2023-07-07 15:51:40.224,1,,False,,False,True
0 days 01:02:13.882000,GAS,10,,18.0,4.0,,,0 days 00:00:29.627000,0 days 00:00:38.286000,0 days 00:00:26.360000,0 days 01:01:09.236000,0 days 01:01:47.522000,0 days 01:02:13.882000,307.0,252.0,241.0,318.0,False,HARD,12.0,False,Alpine,0 days 01:00:39.609000,2023-07-07 15:53:14.510,1,,False,,False,True
0 days 01:03:48.365000,GAS,10,,19.0,4.0,,,0 days 00:00:29.640000,0 days 00:00:38.488000,0 days 00:00:26.355000,0 days 01:02:43.522000,0 days 01:03:22.010000,0 days 01:03:48.365000,295.0,251.0,241.0,293.0,False,HARD,13.0,False,Alpine,0 days 01:02:13.882000,2023-07-07 15:54:48.783,1,,False,,False,True
0 days 01:05:22.562000,GAS,10,,20.0,4.0,,,0 days 00:00:29.534000,0 days 00:00:38.278000,0 days 00:00:26.385000,0 days 01:04:17.899000,0 days 01:04:56.177000,0 days 01:05:22.562000,306.0,251.0,238.0,292.0,False,HARD,14.0,False,Alpine,0 days 01:03:48.365000,2023-07-07 15:56:23.266,1,,False,,False,True
0 days 01:06:57.113000,GAS,10,,21.0,4.0,,,0 days 00:00:29.765000,0 days 00:00:38.307000,0 days 00:00:26.479000,0 days 01:05:52.327000,0 days 01:06:30.634000,0 days 01:06:57.113000,294.0,249.0,242.0,293.0,False,HARD,15.0,False,Alpine,0 days 01:05:22.562000,2023-07-07 15:57:57.463,1,,False,,False,True
0 days 01:08:30.968000,GAS,10,,22.0,4.0,,,0 days 00:00:29.390000,0 days 00:00:38.238000,0 days 00:00:26.227000,0 days 01:07:26.503000,0 days 01:08:04.741000,0 days 01:08:30.968000,320.0,251.0,239.0,313.0,False,HARD,16.0,False,Alpine,0 days 01:06:57.113000,2023-07-07 15:59:32.014,1,,False,,False,True
0 days 01:10:05.530000,GAS,10,,23.0,4.0,,,0 days 00:00:29.835000,0 days 00:00:38.576000,0 days 00:00:26.151000,0 days 01:09:00.803000,0 days 01:09:39.379000,0 days 01:10:05.530000,306.0,252.0,242.0,310.0,False,HARD,17.0,False,Alpine,0 days 01:08:30.968000,2023-07-07 16:01:05.869,1,,False,,False,True
0 days 01:11:40.722000,GAS,10,,24.0,4.0,,,0 days 00:00:29.729000,0 days 00:00:38.806000,0 days 00:00:26.657000,0 days 01:10:35.259000,0 days 01:11:14.065000,0 days 01:11:40.722000,291.0,248.0,239.0,286.0,False,HARD,18.0,False,Alpine,0 days 01:10:05.530000,2023-07-07 16:02:40.431,1,,False,,False,True
0 days 01:13:15.508000,GAS,10,,25.0,4.0,,,0 days 00:00:29.867000,0 days 00:00:38.307000,0 days 00:00:26.612000,0 days 01:12:10.589000,0 days 01:12:48.896000,0 days 01:13:15.508000,290.0,248.0,240.0,287.0,False,HARD,19.0,False,Alpine,0 days 01:11:40.722000,2023-07-07 16:04:15.623,12,,False,,False,True
0 days 01:15:25.017000,GAS,10,,26.0,4.0,,,0 days 00:00:37.228000,0 days 00:00:47.336000,0 days 00:00:44.945000,0 days 01:13:52.736000,0 days 01:14:40.072000,0 days 01:15:25.017000,189.0,202.0,43.0,256.0,False,HARD,20.0,False,Alpine,0 days 01:13:15.508000,2023-07-07 16:05:50.409,21,,False,,False,True
0 days 01:17:40.392000,GAS,10,,27.0,4.0,,0 days 01:17:34.360000,0 days 00:01:05.437000,0 days 00:00:43.565000,0 days 00:00:26.373000,0 days 01:16:30.454000,0 days 01:17:14.019000,0 days 01:17:40.392000,205.0,232.0,,274.0,False,HARD,21.0,False,Alpine,0 days 01:15:25.017000,2023-07-07 16:07:59.918,1,,False,,False,False
