Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:18:23.643000,RUS,63,,1.0,1.0,0 days 00:16:48.238000,,0 days 00:00:25.667000,0 days 00:00:25.676000,0 days 00:00:45.436000,0 days 00:17:12.610000,0 days 00:17:38.324000,0 days 00:18:23.643000,236.0,269.0,291.0,66.0,False,SOFT,1.0,True,Mercedes,0 days 00:16:48.238000,2024-06-08 20:02:57.151,1,,False,,False,False
0 days 00:19:37.655000,RUS,63,,2.0,1.0,,,0 days 00:00:20.841000,0 days 00:00:23.353000,0 days 00:00:29.818000,0 days 00:18:44.484000,0 days 00:19:07.837000,0 days 00:19:37.655000,260.0,283.0,293.0,323.0,True,SOFT,2.0,True,Mercedes,0 days 00:18:23.643000,2024-06-08 20:04:32.556,1,,False,,False,True
0 days 00:21:21.440000,RUS,63,,3.0,1.0,,,0 days 00:00:28.754000,0 days 00:00:34.987000,0 days 00:00:40.044000,0 days 00:20:06.409000,0 days 00:20:41.396000,0 days 00:21:21.440000,152.0,183.0,292.0,200.0,False,SOFT,3.0,True,Mercedes,0 days 00:19:37.655000,2024-06-08 20:05:46.568,1,,False,,False,True
0 days 00:22:49.219000,RUS,63,,4.0,1.0,,,0 days 00:00:23.735000,0 days 00:00:30.254000,0 days 00:00:33.790000,0 days 00:21:45.175000,0 days 00:22:15.429000,0 days 00:22:49.219000,175.0,240.0,290.0,303.0,False,SOFT,4.0,True,Mercedes,0 days 00:21:21.440000,2024-06-08 20:07:30.353,12,,True,TRACK LIMITS AT TURN 4 LAP 5 ,False,True
0 days 00:24:02.461000,RUS,63,,5.0,1.0,,,0 days 00:00:20.561000,0 days 00:00:23.229000,0 days 00:00:29.452000,0 days 00:23:09.780000,0 days 00:23:33.009000,0 days 00:24:02.461000,260.0,283.0,293.0,320.0,True,SOFT,5.0,True,Mercedes,0 days 00:22:49.219000,2024-06-08 20:08:58.132,1,,False,,False,True
0 days 00:27:28.956000,RUS,63,,6.0,1.0,,0 days 00:25:24.385000,0 days 00:00:24.579000,0 days 00:00:27.990000,,0 days 00:24:27.129000,0 days 00:24:55.070000,,206.0,256.0,,278.0,False,SOFT,6.0,True,Mercedes,0 days 00:24:02.461000,2024-06-08 20:10:11.374,1,,False,,False,False
0 days 00:28:55.352000,RUS,63,,7.0,2.0,0 days 00:27:30.353000,,0 days 00:00:26.946000,0 days 00:00:27.640000,0 days 00:00:31.810000,0 days 00:27:55.902000,0 days 00:28:23.542000,0 days 00:28:55.352000,243.0,266.0,293.0,289.0,False,SOFT,7.0,False,Mercedes,0 days 00:27:28.956000,2024-06-08 20:13:37.869,1,,False,,False,False
0 days 00:30:08.365000,RUS,63,,8.0,2.0,,,0 days 00:00:20.453000,0 days 00:00:23.034000,0 days 00:00:29.526000,0 days 00:29:15.805000,0 days 00:29:38.839000,0 days 00:30:08.365000,261.0,285.0,297.0,323.0,True,SOFT,8.0,False,Mercedes,0 days 00:28:55.352000,2024-06-08 20:15:04.265,1,,False,,False,True
0 days 00:38:54.504000,RUS,63,,9.0,2.0,,0 days 00:31:30.379000,0 days 00:00:24.910000,0 days 00:00:29.558000,,0 days 00:30:33.361000,0 days 00:31:02.795000,,222.0,230.0,,306.0,False,SOFT,9.0,False,Mercedes,0 days 00:30:08.365000,2024-06-08 20:16:17.278,1,,False,,False,False
0 days 00:40:16.695000,RUS,63,,10.0,3.0,0 days 00:38:54.504000,,,0 days 00:00:24.796000,0 days 00:00:31.845000,,0 days 00:39:44.898000,0 days 00:40:16.778000,252.0,266.0,291.0,275.0,False,SOFT,1.0,True,Mercedes,0 days 00:38:54.504000,2024-06-08 20:25:03.417,1,,False,,False,False
0 days 00:41:29.816000,RUS,63,,11.0,3.0,,,0 days 00:00:20.315000,0 days 00:00:23.113000,0 days 00:00:29.693000,0 days 00:40:37.010000,0 days 00:41:00.123000,0 days 00:41:29.816000,261.0,282.0,294.0,325.0,True,SOFT,2.0,True,Mercedes,0 days 00:40:16.695000,2024-06-08 20:26:25.608,1,,False,,False,True
0 days 00:42:58.027000,RUS,63,,12.0,3.0,,,0 days 00:00:24.382000,0 days 00:00:28.894000,0 days 00:00:34.935000,0 days 00:41:54.198000,0 days 00:42:23.092000,0 days 00:42:58.027000,209.0,249.0,294.0,300.0,False,SOFT,3.0,True,Mercedes,0 days 00:41:29.816000,2024-06-08 20:27:38.729,1,,False,,False,True
0 days 00:44:10.350000,RUS,63,,13.0,3.0,,,0 days 00:00:20.118000,0 days 00:00:22.817000,0 days 00:00:29.388000,0 days 00:43:18.145000,0 days 00:43:40.962000,0 days 00:44:10.350000,263.0,285.0,295.0,324.0,True,SOFT,4.0,True,Mercedes,0 days 00:42:58.027000,2024-06-08 20:29:06.940,1,,False,,False,True
0 days 00:45:50.956000,RUS,63,,14.0,3.0,,,0 days 00:00:28.219000,0 days 00:00:32.227000,0 days 00:00:40.160000,0 days 00:44:38.569000,0 days 00:45:10.796000,0 days 00:45:50.956000,167.0,251.0,190.0,239.0,False,SOFT,5.0,True,Mercedes,0 days 00:44:10.350000,2024-06-08 20:30:19.263,1,,False,,False,True
0 days 00:47:28.832000,RUS,63,,15.0,3.0,,,0 days 00:00:31.772000,0 days 00:00:31.298000,0 days 00:00:34.806000,0 days 00:46:22.728000,0 days 00:46:54.026000,0 days 00:47:28.832000,155.0,217.0,291.0,244.0,False,SOFT,6.0,True,Mercedes,0 days 00:45:50.956000,2024-06-08 20:31:59.869,1,,False,,False,True
0 days 00:48:56.376000,RUS,63,,16.0,3.0,,,0 days 00:00:22.036000,0 days 00:00:31.046000,0 days 00:00:34.462000,0 days 00:47:50.868000,0 days 00:48:21.914000,0 days 00:48:56.376000,183.0,254.0,293.0,288.0,False,SOFT,7.0,True,Mercedes,0 days 00:47:28.832000,2024-06-08 20:33:37.745,1,,False,,False,True
0 days 00:50:59.707000,RUS,63,,17.0,3.0,,0 days 00:50:21.809000,0 days 00:00:20.331000,0 days 00:00:33.320000,0 days 00:01:09.680000,0 days 00:49:16.707000,0 days 00:49:50.027000,0 days 00:50:59.707000,262.0,165.0,,219.0,False,SOFT,8.0,True,Mercedes,0 days 00:48:56.376000,2024-06-08 20:35:05.289,1,,False,,False,False
0 days 00:52:24.549000,RUS,63,,18.0,4.0,0 days 00:51:01.192000,,0 days 00:00:25.270000,0 days 00:00:24.679000,0 days 00:00:34.893000,0 days 00:51:24.977000,0 days 00:51:49.656000,0 days 00:52:24.549000,202.0,265.0,296.0,279.0,False,SOFT,1.0,True,Mercedes,0 days 00:50:59.707000,2024-06-08 20:37:08.620,1,,False,,False,False
0 days 00:53:36.291000,RUS,63,,19.0,4.0,,,0 days 00:00:20.057000,0 days 00:00:22.714000,0 days 00:00:28.971000,0 days 00:52:44.606000,0 days 00:53:07.320000,0 days 00:53:36.291000,263.0,285.0,297.0,326.0,True,SOFT,2.0,True,Mercedes,0 days 00:52:24.549000,2024-06-08 20:38:33.462,1,,False,,False,True
0 days 01:04:31.432000,RUS,63,,20.0,4.0,,0 days 00:54:59.682000,0 days 00:00:27.854000,0 days 00:00:27.726000,,0 days 00:54:04.417000,0 days 00:54:31.913000,,180.0,257.0,,306.0,False,SOFT,3.0,True,Mercedes,0 days 00:53:36.291000,2024-06-08 20:39:45.204,1,,False,,False,False
0 days 01:05:57.133000,RUS,63,,21.0,5.0,0 days 01:04:33.104000,,0 days 00:00:24.865000,0 days 00:00:24.760000,0 days 00:00:36.076000,0 days 01:04:56.297000,0 days 01:05:21.057000,0 days 01:05:57.133000,252.0,263.0,293.0,269.0,False,SOFT,4.0,False,Mercedes,0 days 01:04:31.432000,2024-06-08 20:50:40.345,1,,False,,False,False
0 days 01:07:09.133000,RUS,63,,22.0,5.0,,,0 days 00:00:20.123000,0 days 00:00:22.726000,0 days 00:00:29.151000,0 days 01:06:17.256000,0 days 01:06:39.982000,0 days 01:07:09.133000,264.0,284.0,294.0,330.0,True,SOFT,5.0,False,Mercedes,0 days 01:05:57.133000,2024-06-08 20:52:06.046,1,,False,,False,True
0 days 01:11:59.202000,RUS,63,,23.0,5.0,,0 days 01:08:28.317000,0 days 00:00:24.504000,0 days 00:00:27.012000,,0 days 01:07:33.675000,0 days 01:08:00.655000,,215.0,263.0,,277.0,False,SOFT,6.0,False,Mercedes,0 days 01:07:09.133000,2024-06-08 20:53:18.046,1,,False,,False,False
0 days 01:13:22.082000,RUS,63,,24.0,6.0,0 days 01:12:00.807000,,0 days 00:00:24.482000,0 days 00:00:27.043000,0 days 00:00:31.355000,0 days 01:12:23.684000,0 days 01:12:50.727000,0 days 01:13:22.082000,255.0,269.0,294.0,286.0,False,SOFT,1.0,True,Mercedes,0 days 01:11:59.202000,2024-06-08 20:58:08.115,1,,False,,False,False
0 days 01:14:34.108000,RUS,63,,25.0,6.0,,,0 days 00:00:20.105000,0 days 00:00:22.894000,0 days 00:00:29.027000,0 days 01:13:42.187000,0 days 01:14:05.081000,0 days 01:14:34.108000,263.0,283.0,295.0,323.0,False,SOFT,2.0,True,Mercedes,0 days 01:13:22.082000,2024-06-08 20:59:30.995,1,,False,,False,True
0 days 01:16:39.583000,RUS,63,,26.0,6.0,,0 days 01:16:08.018000,0 days 00:00:27.718000,0 days 00:00:34.204000,0 days 00:01:03.553000,0 days 01:15:01.826000,0 days 01:15:36.030000,0 days 01:16:39.583000,170.0,193.0,,258.0,False,SOFT,3.0,True,Mercedes,0 days 01:14:34.108000,2024-06-08 21:00:43.021,1,,False,,False,False
0 days 00:16:11.297000,VER,1,,1.0,1.0,0 days 00:14:38.343000,,0 days 00:00:44.255000,0 days 00:00:25.889000,0 days 00:00:32.719000,0 days 00:15:12.816000,0 days 00:15:38.660000,0 days 00:16:11.297000,237.0,261.0,293.0,283.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:14:38.343000,2024-06-08 20:00:47.256,1,,False,,False,False
0 days 00:17:26.491000,VER,1,,2.0,1.0,,,0 days 00:00:21.107000,0 days 00:00:24.060000,0 days 00:00:30.027000,0 days 00:16:32.404000,0 days 00:16:56.464000,0 days 00:17:26.491000,257.0,281.0,291.0,324.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:16:11.297000,2024-06-08 20:02:20.210,1,,False,,False,True
0 days 00:19:11.218000,VER,1,,3.0,1.0,,,0 days 00:00:27.989000,0 days 00:00:33.463000,0 days 00:00:43.275000,0 days 00:17:54.480000,0 days 00:18:27.943000,0 days 00:19:11.218000,191.0,252.0,140.0,194.0,False,SOFT,3.0,True,Red Bull Racing,0 days 00:17:26.491000,2024-06-08 20:03:35.404,1,,False,,False,True
0 days 00:20:49.303000,VER,1,,4.0,1.0,,,0 days 00:00:35.065000,0 days 00:00:29.039000,0 days 00:00:33.981000,0 days 00:19:46.283000,0 days 00:20:15.322000,0 days 00:20:49.303000,198.0,225.0,295.0,281.0,False,SOFT,4.0,True,Red Bull Racing,0 days 00:19:11.218000,2024-06-08 20:05:20.131,1,,False,,False,True
0 days 00:22:02.671000,VER,1,,5.0,1.0,,,0 days 00:00:20.539000,0 days 00:00:23.413000,0 days 00:00:29.416000,0 days 00:21:09.842000,0 days 00:21:33.255000,0 days 00:22:02.671000,258.0,284.0,293.0,325.0,True,SOFT,5.0,True,Red Bull Racing,0 days 00:20:49.303000,2024-06-08 20:06:58.216,12,,False,,False,True
0 days 00:23:46.477000,VER,1,,6.0,1.0,,,0 days 00:00:28.877000,0 days 00:00:32.462000,0 days 00:00:42.467000,0 days 00:22:31.548000,0 days 00:23:04.010000,0 days 00:23:46.477000,154.0,256.0,177.0,214.0,False,SOFT,6.0,True,Red Bull Racing,0 days 00:22:02.671000,2024-06-08 20:08:11.584,1,,False,,False,True
0 days 00:25:31.212000,VER,1,,7.0,1.0,,,0 days 00:00:31.852000,0 days 00:00:30.961000,0 days 00:00:41.922000,0 days 00:24:18.329000,0 days 00:24:49.290000,0 days 00:25:31.212000,179.0,256.0,295.0,218.0,False,SOFT,7.0,True,Red Bull Racing,0 days 00:23:46.477000,2024-06-08 20:09:55.390,1,,False,,False,True
0 days 00:29:24.270000,VER,1,,8.0,1.0,,0 days 00:26:40.665000,0 days 00:00:20.660000,0 days 00:00:23.356000,,0 days 00:25:51.944000,0 days 00:26:15.342000,,258.0,285.0,,304.0,False,SOFT,8.0,True,Red Bull Racing,0 days 00:25:31.212000,2024-06-08 20:11:40.125,1,,False,,False,False
0 days 00:30:55.706000,VER,1,,9.0,2.0,0 days 00:29:25.679000,,0 days 00:00:28.065000,0 days 00:00:25.934000,0 days 00:00:37.437000,0 days 00:29:52.335000,0 days 00:30:18.269000,0 days 00:30:55.706000,236.0,255.0,296.0,291.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:29:24.270000,2024-06-08 20:15:33.183,1,,False,,False,False
0 days 00:32:08.066000,VER,1,,10.0,2.0,,,0 days 00:00:20.280000,0 days 00:00:22.990000,0 days 00:00:29.090000,0 days 00:31:15.986000,0 days 00:31:38.976000,0 days 00:32:08.066000,259.0,284.0,291.0,326.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:30:55.706000,2024-06-08 20:17:04.619,1,,False,,False,True
0 days 00:39:57.079000,VER,1,,11.0,2.0,,0 days 00:33:34.337000,0 days 00:00:25.784000,0 days 00:00:29.777000,,0 days 00:32:33.933000,0 days 00:33:03.611000,,183.0,195.0,,260.0,False,SOFT,3.0,True,Red Bull Racing,0 days 00:32:08.066000,2024-06-08 20:18:16.979,1,,False,,False,False
0 days 00:41:36.115000,VER,1,,12.0,3.0,0 days 00:39:59.937000,,0 days 00:00:38.367000,0 days 00:00:27.712000,0 days 00:00:32.957000,0 days 00:40:35.446000,0 days 00:41:03.158000,0 days 00:41:36.115000,238.0,257.0,296.0,276.0,False,SOFT,2.0,False,Red Bull Racing,0 days 00:39:57.079000,2024-06-08 20:26:05.992,1,,False,,False,False
0 days 00:42:49.199000,VER,1,,13.0,3.0,,,0 days 00:00:20.443000,0 days 00:00:23.347000,0 days 00:00:29.294000,0 days 00:41:56.558000,0 days 00:42:19.905000,0 days 00:42:49.199000,259.0,283.0,296.0,327.0,True,SOFT,3.0,False,Red Bull Racing,0 days 00:41:36.115000,2024-06-08 20:27:45.028,1,,False,,False,True
0 days 00:44:32.149000,VER,1,,14.0,3.0,,,0 days 00:00:27.960000,0 days 00:00:34.598000,0 days 00:00:40.392000,0 days 00:43:17.159000,0 days 00:43:51.757000,0 days 00:44:32.149000,177.0,234.0,163.0,265.0,False,SOFT,4.0,False,Red Bull Racing,0 days 00:42:49.199000,2024-06-08 20:28:58.112,1,,False,,False,True
0 days 00:46:09.901000,VER,1,,15.0,3.0,,,0 days 00:00:29.035000,0 days 00:00:33.626000,0 days 00:00:35.091000,0 days 00:45:01.184000,0 days 00:45:34.810000,0 days 00:46:09.901000,166.0,230.0,295.0,298.0,False,SOFT,5.0,False,Red Bull Racing,0 days 00:44:32.149000,2024-06-08 20:30:41.062,1,,False,,False,True
0 days 00:47:22.841000,VER,1,,16.0,3.0,,,0 days 00:00:20.422000,0 days 00:00:23.147000,0 days 00:00:29.371000,0 days 00:46:30.323000,0 days 00:46:53.470000,0 days 00:47:22.841000,258.0,283.0,293.0,324.0,True,SOFT,6.0,False,Red Bull Racing,0 days 00:46:09.901000,2024-06-08 20:32:18.814,1,,False,,False,True
0 days 00:50:31.204000,VER,1,,17.0,3.0,,0 days 00:48:35.577000,0 days 00:00:21.806000,0 days 00:00:24.814000,,0 days 00:47:44.812000,0 days 00:48:09.588000,,239.0,257.0,,288.0,False,SOFT,7.0,False,Red Bull Racing,0 days 00:47:22.841000,2024-06-08 20:33:31.754,1,,False,,False,False
0 days 00:51:54.320000,VER,1,,18.0,4.0,0 days 00:50:32.751000,,0 days 00:00:26.642000,0 days 00:00:24.640000,0 days 00:00:31.834000,0 days 00:50:57.846000,0 days 00:51:22.486000,0 days 00:51:54.320000,245.0,260.0,296.0,299.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:50:31.204000,2024-06-08 20:36:40.117,1,,False,,False,False
0 days 00:53:06.869000,VER,1,,19.0,4.0,,,0 days 00:00:20.191000,0 days 00:00:22.902000,0 days 00:00:29.456000,0 days 00:52:14.511000,0 days 00:52:37.413000,0 days 00:53:06.869000,260.0,285.0,294.0,324.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:51:54.320000,2024-06-08 20:38:03.233,1,,False,,False,True
0 days 01:01:28.047000,VER,1,,20.0,4.0,,0 days 00:54:39.655000,0 days 00:00:30.634000,0 days 00:00:28.717000,,0 days 00:53:37.675000,0 days 00:54:06.309000,,205.0,212.0,,275.0,False,SOFT,3.0,True,Red Bull Racing,0 days 00:53:06.869000,2024-06-08 20:39:15.782,1,,False,,False,False
0 days 01:03:28.507000,VER,1,,21.0,5.0,0 days 01:02:01.529000,,0 days 00:01:03.177000,0 days 00:00:24.828000,0 days 00:00:32.455000,0 days 01:02:31.224000,0 days 01:02:56.052000,0 days 01:03:28.507000,240.0,260.0,296.0,276.0,False,SOFT,3.0,False,Red Bull Racing,0 days 01:01:28.047000,2024-06-08 20:47:36.960,1,,False,,False,False
0 days 01:04:40.865000,VER,1,,22.0,5.0,,,0 days 00:00:20.286000,0 days 00:00:22.978000,0 days 00:00:29.094000,0 days 01:03:48.793000,0 days 01:04:11.771000,0 days 01:04:40.865000,259.0,283.0,294.0,326.0,True,SOFT,4.0,False,Red Bull Racing,0 days 01:03:28.507000,2024-06-08 20:49:37.420,1,,False,,False,True
0 days 01:06:18.868000,VER,1,,23.0,5.0,,,0 days 00:00:30.528000,0 days 00:00:32.286000,0 days 00:00:35.189000,0 days 01:05:11.393000,0 days 01:05:43.679000,0 days 01:06:18.868000,141.0,225.0,294.0,281.0,False,SOFT,5.0,False,Red Bull Racing,0 days 01:04:40.865000,2024-06-08 20:50:49.778,1,,False,,False,True
0 days 01:11:40.726000,VER,1,,24.0,5.0,,0 days 01:07:33.339000,0 days 00:00:20.346000,0 days 00:00:26.379000,,0 days 01:06:39.226000,0 days 01:07:05.716000,,259.0,251.0,,282.0,False,SOFT,6.0,False,Red Bull Racing,0 days 01:06:18.868000,2024-06-08 20:52:27.781,1,,False,,False,False
0 days 01:13:05.134000,VER,1,,25.0,6.0,0 days 01:11:42.369000,,0 days 00:00:26.552000,0 days 00:00:26.532000,0 days 00:00:31.324000,0 days 01:12:07.278000,0 days 01:12:33.810000,0 days 01:13:05.134000,235.0,257.0,296.0,298.0,False,SOFT,1.0,True,Red Bull Racing,0 days 01:11:40.726000,2024-06-08 20:57:49.639,1,,False,,False,False
0 days 01:14:17.134000,VER,1,,26.0,6.0,,,0 days 00:00:19.987000,0 days 00:00:22.915000,0 days 00:00:29.098000,0 days 01:13:25.121000,0 days 01:13:48.036000,0 days 01:14:17.134000,261.0,284.0,295.0,326.0,True,SOFT,2.0,True,Red Bull Racing,0 days 01:13:05.134000,2024-06-08 20:59:14.047,1,,False,,False,True
0 days 01:16:16.124000,VER,1,,27.0,6.0,,0 days 01:15:51.172000,0 days 00:00:26.052000,0 days 00:00:33.797000,0 days 00:00:59.141000,0 days 01:14:43.186000,0 days 01:15:16.983000,0 days 01:16:16.124000,194.0,215.0,,276.0,False,SOFT,3.0,True,Red Bull Racing,0 days 01:14:17.134000,2024-06-08 21:00:26.047,1,,False,,False,False
0 days 00:16:32.619000,NOR,4,,1.0,1.0,0 days 00:15:04.825000,,0 days 00:00:36.416000,0 days 00:00:25.600000,0 days 00:00:32.796000,0 days 00:15:34.320000,0 days 00:15:59.945000,0 days 00:16:32.619000,242.0,264.0,292.0,309.0,False,SOFT,1.0,True,McLaren,0 days 00:15:04.825000,2024-06-08 20:01:13.738,1,,False,,False,False
0 days 00:17:47.204000,NOR,4,,2.0,1.0,,,0 days 00:00:21.088000,0 days 00:00:23.698000,0 days 00:00:29.799000,0 days 00:16:53.707000,0 days 00:17:17.405000,0 days 00:17:47.204000,256.0,282.0,295.0,319.0,True,SOFT,2.0,True,McLaren,0 days 00:16:32.619000,2024-06-08 20:02:41.532,1,,False,,False,True
0 days 00:19:22.870000,NOR,4,,3.0,1.0,,,0 days 00:00:27.959000,0 days 00:00:29.366000,0 days 00:00:38.341000,0 days 00:18:15.163000,0 days 00:18:44.529000,0 days 00:19:22.870000,195.0,254.0,296.0,155.0,False,SOFT,3.0,True,McLaren,0 days 00:17:47.204000,2024-06-08 20:03:56.117,1,,False,,False,True
0 days 00:20:36.411000,NOR,4,,4.0,1.0,,,0 days 00:00:20.768000,0 days 00:00:23.307000,0 days 00:00:29.466000,0 days 00:19:43.638000,0 days 00:20:06.945000,0 days 00:20:36.411000,260.0,284.0,295.0,325.0,True,SOFT,4.0,True,McLaren,0 days 00:19:22.870000,2024-06-08 20:05:31.783,1,,False,,False,True
0 days 00:22:16.252000,NOR,4,,5.0,1.0,,,0 days 00:00:29.073000,0 days 00:00:31.787000,0 days 00:00:38.981000,0 days 00:21:05.484000,0 days 00:21:37.271000,0 days 00:22:16.252000,200.0,253.0,294.0,144.0,False,SOFT,5.0,True,McLaren,0 days 00:20:36.411000,2024-06-08 20:06:45.324,12,,False,,False,True
0 days 00:26:09.172000,NOR,4,,6.0,1.0,,0 days 00:23:25.659000,0 days 00:00:20.752000,0 days 00:00:23.333000,,0 days 00:22:37.147000,0 days 00:23:00.374000,,259.0,285.0,,323.0,False,SOFT,6.0,True,McLaren,0 days 00:22:16.252000,2024-06-08 20:08:25.165,1,,False,,False,False
0 days 00:27:43.929000,NOR,4,,7.0,2.0,0 days 00:26:12.499000,,0 days 00:00:32.258000,0 days 00:00:26.169000,0 days 00:00:36.330000,0 days 00:26:41.430000,0 days 00:27:07.599000,0 days 00:27:43.929000,235.0,260.0,293.0,172.0,False,SOFT,1.0,True,McLaren,0 days 00:26:09.172000,2024-06-08 20:12:18.085,1,,False,,False,False
0 days 00:28:56.888000,NOR,4,,8.0,2.0,,,0 days 00:00:20.421000,0 days 00:00:23.177000,0 days 00:00:29.361000,0 days 00:28:04.350000,0 days 00:28:27.527000,0 days 00:28:56.888000,261.0,284.0,296.0,324.0,True,SOFT,2.0,True,McLaren,0 days 00:27:43.929000,2024-06-08 20:13:52.842,1,,False,,False,True
0 days 00:39:14.508000,NOR,4,,9.0,2.0,,0 days 00:30:23.132000,0 days 00:00:24.716000,0 days 00:00:28.449000,,0 days 00:29:21.631000,0 days 00:29:50.121000,,213.0,208.0,,265.0,False,SOFT,3.0,True,McLaren,0 days 00:28:56.888000,2024-06-08 20:15:05.801,1,,False,,False,False
0 days 00:40:49.882000,NOR,4,,10.0,3.0,0 days 00:39:25.370000,,0 days 00:00:39.176000,0 days 00:00:25.257000,0 days 00:00:30.941000,0 days 00:39:53.684000,0 days 00:40:18.941000,0 days 00:40:49.882000,243.0,265.0,293.0,303.0,False,SOFT,1.0,True,McLaren,0 days 00:39:14.508000,2024-06-08 20:25:23.421,1,,False,,False,False
0 days 00:42:03.089000,NOR,4,,11.0,3.0,,,0 days 00:00:20.518000,0 days 00:00:23.395000,0 days 00:00:29.294000,0 days 00:41:10.400000,0 days 00:41:33.795000,0 days 00:42:03.089000,257.0,282.0,296.0,325.0,True,SOFT,2.0,True,McLaren,0 days 00:40:49.882000,2024-06-08 20:26:58.795,1,,False,,False,True
0 days 00:43:35.309000,NOR,4,,12.0,3.0,,,0 days 00:00:25.065000,0 days 00:00:29.770000,0 days 00:00:37.385000,0 days 00:42:28.154000,0 days 00:42:57.924000,0 days 00:43:35.309000,210.0,238.0,294.0,252.0,False,SOFT,3.0,True,McLaren,0 days 00:42:03.089000,2024-06-08 20:28:12.002,1,,False,,False,True
0 days 00:44:48.001000,NOR,4,,13.0,3.0,,,0 days 00:00:20.444000,0 days 00:00:23.122000,0 days 00:00:29.126000,0 days 00:43:55.753000,0 days 00:44:18.875000,0 days 00:44:48.001000,260.0,285.0,296.0,325.0,True,SOFT,4.0,True,McLaren,0 days 00:43:35.309000,2024-06-08 20:29:44.222,1,,False,,False,True
0 days 00:48:22.393000,NOR,4,,14.0,3.0,,0 days 00:46:07.620000,0 days 00:00:22.578000,0 days 00:00:26.793000,,0 days 00:45:10.636000,0 days 00:45:37.552000,,229.0,247.0,,305.0,False,SOFT,5.0,True,McLaren,0 days 00:44:48.001000,2024-06-08 20:30:56.914,1,,False,,False,False
0 days 00:50:00.383000,NOR,4,,15.0,4.0,0 days 00:48:29.077000,,0 days 00:00:39.603000,0 days 00:00:25.044000,0 days 00:00:33.343000,0 days 00:49:01.996000,0 days 00:49:27.040000,0 days 00:50:00.383000,248.0,264.0,292.0,288.0,False,SOFT,4.0,False,McLaren,0 days 00:48:22.393000,2024-06-08 20:34:31.306,1,,False,,False,False
0 days 00:51:12.584000,NOR,4,,16.0,4.0,,,0 days 00:00:20.227000,0 days 00:00:22.877000,0 days 00:00:29.097000,0 days 00:50:20.610000,0 days 00:50:43.487000,0 days 00:51:12.584000,260.0,284.0,295.0,325.0,True,SOFT,5.0,False,McLaren,0 days 00:50:00.383000,2024-06-08 20:36:09.296,1,,False,,False,True
0 days 01:02:08.645000,NOR,4,,17.0,4.0,,0 days 00:52:41.662000,0 days 00:00:24.103000,0 days 00:00:28.895000,,0 days 00:51:36.700000,0 days 00:52:05.708000,,204.0,199.0,,126.0,False,SOFT,6.0,False,McLaren,0 days 00:51:12.584000,2024-06-08 20:37:21.497,1,,False,,False,False
0 days 01:03:37.969000,NOR,4,,18.0,5.0,0 days 01:02:11.809000,,0 days 00:00:32.933000,0 days 00:00:24.913000,0 days 00:00:31.478000,0 days 01:02:41.578000,0 days 01:03:06.491000,0 days 01:03:37.969000,240.0,266.0,293.0,304.0,False,SOFT,6.0,False,McLaren,0 days 01:02:08.645000,2024-06-08 20:48:17.558,1,,False,,False,False
0 days 01:04:51.339000,NOR,4,,19.0,5.0,,,0 days 00:00:20.672000,0 days 00:00:23.201000,0 days 00:00:29.497000,0 days 01:03:58.641000,0 days 01:04:21.842000,0 days 01:04:51.339000,257.0,283.0,293.0,322.0,True,SOFT,7.0,False,McLaren,0 days 01:03:37.969000,2024-06-08 20:49:46.882,1,,False,,False,True
0 days 01:08:39.820000,NOR,4,,20.0,5.0,,0 days 01:06:08.955000,0 days 00:00:23.016000,0 days 00:00:27.556000,,0 days 01:05:14.419000,0 days 01:05:42.067000,,238.0,254.0,,296.0,False,SOFT,8.0,False,McLaren,0 days 01:04:51.339000,2024-06-08 20:51:00.252,1,,False,,False,False
0 days 01:10:02.921000,NOR,4,,21.0,6.0,0 days 01:08:41.387000,,0 days 00:00:27.291000,0 days 00:00:24.655000,0 days 00:00:31.155000,0 days 01:09:07.111000,0 days 01:09:31.766000,0 days 01:10:02.921000,242.0,267.0,292.0,303.0,False,SOFT,1.0,True,McLaren,0 days 01:08:39.820000,2024-06-08 20:54:48.733,1,,False,,False,False
0 days 01:11:14.942000,NOR,4,,22.0,6.0,,,0 days 00:00:20.149000,0 days 00:00:22.776000,0 days 00:00:29.096000,0 days 01:10:23.070000,0 days 01:10:45.846000,0 days 01:11:14.942000,259.0,283.0,293.0,321.0,True,SOFT,2.0,True,McLaren,0 days 01:10:02.921000,2024-06-08 20:56:11.834,1,,False,,False,True
