Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 01:04:15.902000,VER,1,,1.0,1.0,,,,0 days 00:00:42.414000,0 days 00:00:23.842000,,0 days 01:03:52.119000,0 days 01:04:16.010000,232.0,231.0,278.0,252.0,False,SOFT,4.0,False,Red Bull Racing,0 days 01:02:36.652000,2023-03-05 15:03:38.501,12,1.0,False,,False,False
0 days 01:05:53.876000,VER,1,,2.0,1.0,,,0 days 00:00:31.342000,0 days 00:00:42.504000,0 days 00:00:24.128000,0 days 01:04:47.303000,0 days 01:05:29.807000,0 days 01:05:53.935000,227.0,238.0,278.0,288.0,True,SOFT,5.0,False,Red Bull Racing,0 days 01:04:15.902000,2023-03-05 15:05:17.751,12,1.0,False,,False,True
0 days 01:07:31.882000,VER,1,,3.0,1.0,,,0 days 00:00:31.388000,0 days 00:00:42.469000,0 days 00:00:24.149000,0 days 01:06:25.323000,0 days 01:07:07.792000,0 days 01:07:31.941000,,238.0,278.0,287.0,False,SOFT,6.0,False,Red Bull Racing,0 days 01:05:53.876000,2023-03-05 15:06:55.725,1,1.0,False,,False,True
0 days 01:09:09.858000,VER,1,,4.0,1.0,,,0 days 00:00:31.271000,0 days 00:00:42.642000,0 days 00:00:24.063000,0 days 01:08:03.212000,0 days 01:08:45.854000,0 days 01:09:09.917000,228.0,238.0,278.0,289.0,False,SOFT,7.0,False,Red Bull Racing,0 days 01:07:31.882000,2023-03-05 15:08:33.731,1,1.0,False,,False,True
0 days 01:10:47.893000,VER,1,,5.0,1.0,,,0 days 00:00:31.244000,0 days 00:00:42.724000,0 days 00:00:24.067000,0 days 01:09:41.161000,0 days 01:10:23.885000,0 days 01:10:47.952000,,239.0,278.0,290.0,False,SOFT,8.0,False,Red Bull Racing,0 days 01:09:09.858000,2023-03-05 15:10:11.707,1,1.0,False,,False,True
0 days 01:12:25.879000,VER,1,,6.0,1.0,,,0 days 00:00:31.341000,0 days 00:00:42.632000,0 days 00:00:24.013000,0 days 01:11:19.293000,0 days 01:12:01.925000,0 days 01:12:25.938000,229.0,239.0,279.0,291.0,False,SOFT,9.0,False,Red Bull Racing,0 days 01:10:47.893000,2023-03-05 15:11:49.742,1,1.0,False,,False,True
0 days 01:14:03.900000,VER,1,,7.0,1.0,,,0 days 00:00:31.290000,0 days 00:00:42.763000,0 days 00:00:23.968000,0 days 01:12:57.228000,0 days 01:13:39.991000,0 days 01:14:03.959000,230.0,239.0,279.0,293.0,False,SOFT,10.0,False,Red Bull Racing,0 days 01:12:25.879000,2023-03-05 15:13:27.728,1,1.0,False,,False,True
0 days 01:15:42.054000,VER,1,,8.0,1.0,,,0 days 00:00:31.291000,0 days 00:00:42.833000,0 days 00:00:24.030000,0 days 01:14:35.250000,0 days 01:15:18.083000,0 days 01:15:42.113000,,240.0,279.0,,False,SOFT,11.0,False,Red Bull Racing,0 days 01:14:03.900000,2023-03-05 15:15:05.749,1,1.0,False,,False,True
0 days 01:17:20.332000,VER,1,,9.0,1.0,,,0 days 00:00:31.336000,0 days 00:00:42.823000,0 days 00:00:24.119000,0 days 01:16:13.449000,0 days 01:16:56.272000,0 days 01:17:20.391000,229.0,242.0,279.0,,False,SOFT,12.0,False,Red Bull Racing,0 days 01:15:42.054000,2023-03-05 15:16:43.903,1,1.0,False,,False,True
0 days 01:18:58.701000,VER,1,,10.0,1.0,,,0 days 00:00:31.361000,0 days 00:00:42.884000,0 days 00:00:24.124000,0 days 01:17:51.752000,0 days 01:18:34.636000,0 days 01:18:58.760000,230.0,242.0,279.0,,False,SOFT,13.0,False,Red Bull Racing,0 days 01:17:20.332000,2023-03-05 15:18:22.181,1,1.0,False,,False,True
