Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:27:20.459000,VER,1,,1.0,1.0,0 days 00:18:59.843000,0 days 00:21:06.934000,,,,,,,204.0,,,178.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:18:59.843000,2023-03-04 15:04:00.840,15,,False,,False,False
0 days 00:29:32.394000,VER,1,,2.0,2.0,0 days 00:27:20.459000,,,0 days 00:00:53.666000,0 days 00:00:38.509000,,0 days 00:28:53.926000,0 days 00:29:32.394000,219.0,217.0,288.0,141.0,False,SOFT,2.0,False,Red Bull Racing,0 days 00:27:20.459000,2023-03-04 15:12:21.456,1,,False,,False,False
0 days 00:31:03.689000,VER,1,,3.0,2.0,,,0 days 00:00:29.152000,0 days 00:00:39.195000,0 days 00:00:22.948000,0 days 00:30:01.546000,0 days 00:30:40.741000,0 days 00:31:03.689000,240.0,270.0,288.0,322.0,True,SOFT,3.0,False,Red Bull Racing,0 days 00:29:32.394000,2023-03-04 15:14:33.391,1,,False,,False,True
0 days 00:32:53.501000,VER,1,,4.0,2.0,,0 days 00:32:51.749000,0 days 00:00:35.615000,0 days 00:00:44.953000,0 days 00:00:29.244000,0 days 00:31:39.304000,0 days 00:32:24.257000,0 days 00:32:53.501000,205.0,215.0,,234.0,False,SOFT,4.0,False,Red Bull Racing,0 days 00:31:03.689000,2023-03-04 15:16:04.686,1,,False,,False,False
0 days 00:40:05.688000,VER,1,,5.0,3.0,0 days 00:37:48.525000,,,0 days 00:00:53.390000,0 days 00:00:45.107000,,0 days 00:39:20.602000,0 days 00:40:05.820000,170.0,155.0,287.0,142.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:32:53.501000,2023-03-04 15:17:54.498,1,,False,,False,False
0 days 00:42:18.204000,VER,1,,6.0,3.0,,0 days 00:42:16.255000,0 days 00:00:48.978000,0 days 00:00:48.136000,0 days 00:00:35.402000,0 days 00:40:54.666000,0 days 00:41:42.802000,0 days 00:42:18.204000,195.0,185.0,,135.0,False,SOFT,2.0,True,Red Bull Racing,0 days 00:40:05.688000,2023-03-04 15:25:06.685,1,,False,,False,False
0 days 00:53:44.711000,VER,1,,7.0,4.0,0 days 00:51:39.792000,,,0 days 00:00:56.693000,0 days 00:00:30.799000,,0 days 00:53:13.946000,0 days 00:53:44.711000,182.0,172.0,289.0,171.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:42:18.204000,2023-03-04 15:27:19.201,1,,False,,False,False
0 days 00:55:15.214000,VER,1,,8.0,4.0,,,0 days 00:00:28.925000,0 days 00:00:38.915000,0 days 00:00:22.663000,0 days 00:54:13.636000,0 days 00:54:52.551000,0 days 00:55:15.214000,240.0,270.0,288.0,323.0,True,SOFT,2.0,True,Red Bull Racing,0 days 00:53:44.711000,2023-03-04 15:38:45.708,1,,False,,False,True
0 days 00:57:20.970000,VER,1,,9.0,4.0,,0 days 00:57:19.192000,0 days 00:00:38.904000,0 days 00:00:53.517000,0 days 00:00:33.335000,0 days 00:55:54.118000,0 days 00:56:47.635000,0 days 00:57:20.970000,158.0,184.0,,204.0,False,SOFT,3.0,True,Red Bull Racing,0 days 00:55:15.214000,2023-03-04 15:40:16.211,1,,False,,False,False
0 days 01:14:21.316000,VER,1,,10.0,5.0,0 days 01:12:26.488000,,,0 days 00:00:52.962000,0 days 00:00:27.476000,,0 days 01:13:53.861000,0 days 01:14:21.345000,188.0,196.0,289.0,168.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:57:20.970000,2023-03-04 15:42:21.967,1,,False,,False,False
