Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:18:27.472000,VER,1,,1.0,1.0,0 days 00:16:26.862000,,,0 days 00:00:51.475000,0 days 00:00:20.064000,,0 days 00:18:07.456000,0 days 00:18:27.472000,237.0,194.0,272.0,249.0,False,C3,1.0,True,Red Bull Racing,0 days 00:16:26.862000,2025-04-05 06:02:48.742,1,,False,,False,False
0 days 00:19:55.832000,VER,1,,2.0,1.0,,,0 days 00:00:30.856000,0 days 00:00:40.015000,0 days 00:00:17.489000,0 days 00:18:58.328000,0 days 00:19:38.343000,0 days 00:19:55.832000,288.0,298.0,270.0,297.0,True,C3,2.0,True,Red Bull Racing,0 days 00:18:27.472000,2025-04-05 06:04:49.352,1,,False,,False,True
0 days 00:22:00.136000,VER,1,,3.0,1.0,,0 days 00:21:58.895000,0 days 00:00:45.737000,0 days 00:00:52.077000,0 days 00:00:26.490000,0 days 00:20:41.569000,0 days 00:21:33.646000,0 days 00:22:00.136000,248.0,190.0,,235.0,False,C3,3.0,True,Red Bull Racing,0 days 00:19:55.832000,2025-04-05 06:06:17.712,1,,False,,False,False
0 days 00:29:01.988000,VER,1,,4.0,2.0,0 days 00:27:02.770000,,,0 days 00:00:51.956000,0 days 00:00:19.667000,,0 days 00:28:42.493000,0 days 00:29:02.196000,204.0,268.0,273.0,234.0,False,C3,4.0,False,Red Bull Racing,0 days 00:22:00.136000,2025-04-05 06:08:22.016,1,,False,,False,False
0 days 00:30:29.931000,VER,1,,5.0,2.0,,,0 days 00:00:30.696000,0 days 00:00:39.718000,0 days 00:00:17.529000,0 days 00:29:32.684000,0 days 00:30:12.402000,0 days 00:30:29.931000,288.0,299.0,270.0,297.0,True,C3,5.0,False,Red Bull Racing,0 days 00:29:01.988000,2025-04-05 06:15:23.868,1,,False,,False,True
0 days 00:32:20.580000,VER,1,,6.0,2.0,,0 days 00:32:19.350000,0 days 00:00:40.294000,0 days 00:00:46.588000,0 days 00:00:23.767000,0 days 00:31:10.225000,0 days 00:31:56.813000,0 days 00:32:20.580000,254.0,260.0,,262.0,False,C3,6.0,False,Red Bull Racing,0 days 00:30:29.931000,2025-04-05 06:16:51.811,1,,False,,False,False
0 days 00:40:38.528000,VER,1,,7.0,3.0,0 days 00:38:41.094000,,,0 days 00:00:53.604000,0 days 00:00:19.924000,,0 days 00:40:18.604000,0 days 00:40:38.541000,190.0,231.0,273.0,245.0,False,C3,1.0,True,Red Bull Racing,0 days 00:32:20.580000,2025-04-05 06:18:42.460,1,,False,,False,False
0 days 00:42:06.030000,VER,1,,8.0,3.0,,,0 days 00:00:30.510000,0 days 00:00:39.641000,0 days 00:00:17.351000,0 days 00:41:09.038000,0 days 00:41:48.679000,0 days 00:42:06.030000,288.0,300.0,271.0,299.0,True,C3,2.0,True,Red Bull Racing,0 days 00:40:38.528000,2025-04-05 06:27:00.408,1,,False,,False,True
0 days 00:44:10.427000,VER,1,,9.0,3.0,,0 days 00:44:08.137000,0 days 00:00:44.853000,0 days 00:00:54.756000,0 days 00:00:24.788000,0 days 00:42:50.883000,0 days 00:43:45.639000,0 days 00:44:10.427000,172.0,248.0,,255.0,False,C3,3.0,True,Red Bull Racing,0 days 00:42:06.030000,2025-04-05 06:28:27.910,1,,False,,False,False
0 days 00:58:59.808000,VER,1,,10.0,4.0,0 days 00:57:00.384000,,,0 days 00:00:52.275000,0 days 00:00:20.201000,,0 days 00:58:39.607000,0 days 00:58:59.951000,211.0,192.0,272.0,255.0,False,C3,4.0,False,Red Bull Racing,0 days 00:57:00.384000,2025-04-05 06:43:22.264,1,,False,,False,False
