Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 01:04:52.457000,VER,1,,1.0,1.0,,,,0 days 00:00:43.217000,0 days 00:00:25.646000,,0 days 01:04:26.913000,0 days 01:04:52.569000,200.0,215.0,317.0,320.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 01:03:01.758000,2023-04-30 11:04:03.228,12,2.0,False,,False,False
0 days 01:06:40.164000,VER,1,,2.0,1.0,,,0 days 00:00:38.431000,0 days 00:00:43.642000,0 days 00:00:25.634000,0 days 01:05:30.917000,0 days 01:06:14.559000,0 days 01:06:40.193000,194.0,212.0,318.0,322.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 01:04:52.457000,2023-04-30 11:05:53.927,1,2.0,False,,False,True
0 days 01:08:27.841000,VER,1,,3.0,1.0,,,0 days 00:00:38.493000,0 days 00:00:43.718000,0 days 00:00:25.466000,0 days 01:07:18.686000,0 days 01:08:02.404000,0 days 01:08:27.870000,196.0,203.0,342.0,322.0,True,MEDIUM,3.0,True,Red Bull Racing,0 days 01:06:40.164000,2023-04-30 11:07:41.634,1,1.0,False,,False,True
0 days 01:10:14.949000,VER,1,,4.0,1.0,,,0 days 00:00:37.933000,0 days 00:00:43.372000,0 days 00:00:25.803000,0 days 01:09:05.803000,0 days 01:09:49.175000,0 days 01:10:14.978000,197.0,209.0,311.0,316.0,True,MEDIUM,4.0,True,Red Bull Racing,0 days 01:08:27.841000,2023-04-30 11:09:29.311,1,1.0,False,,False,True
0 days 01:12:02.425000,VER,1,,5.0,1.0,,,0 days 00:00:38.284000,0 days 00:00:43.414000,0 days 00:00:25.778000,0 days 01:10:53.262000,0 days 01:11:36.676000,0 days 01:12:02.454000,203.0,203.0,311.0,316.0,False,MEDIUM,5.0,True,Red Bull Racing,0 days 01:10:14.949000,2023-04-30 11:11:16.419,1,1.0,False,,False,True
0 days 01:13:49.627000,VER,1,,6.0,1.0,,,0 days 00:00:38.262000,0 days 00:00:43.240000,0 days 00:00:25.700000,0 days 01:12:40.716000,0 days 01:13:23.956000,0 days 01:13:49.656000,201.0,209.0,313.0,317.0,False,MEDIUM,6.0,True,Red Bull Racing,0 days 01:12:02.425000,2023-04-30 11:13:03.895,1,1.0,False,,False,True
0 days 01:15:36.622000,VER,1,,7.0,1.0,,,0 days 00:00:38.268000,0 days 00:00:43.032000,0 days 00:00:25.695000,0 days 01:14:27.924000,0 days 01:15:10.956000,0 days 01:15:36.651000,206.0,212.0,314.0,317.0,True,MEDIUM,7.0,True,Red Bull Racing,0 days 01:13:49.627000,2023-04-30 11:14:51.097,1,1.0,False,,False,True
0 days 01:17:23.423000,VER,1,,8.0,1.0,,,0 days 00:00:38.038000,0 days 00:00:43.034000,0 days 00:00:25.729000,0 days 01:16:14.689000,0 days 01:16:57.723000,0 days 01:17:23.452000,,217.0,314.0,316.0,True,MEDIUM,8.0,True,Red Bull Racing,0 days 01:15:36.622000,2023-04-30 11:16:38.092,1,1.0,False,,False,True
0 days 01:19:10.367000,VER,1,,9.0,1.0,,,0 days 00:00:37.979000,0 days 00:00:43.119000,0 days 00:00:25.846000,0 days 01:18:01.431000,0 days 01:18:44.550000,0 days 01:19:10.396000,,220.0,314.0,317.0,False,MEDIUM,9.0,True,Red Bull Racing,0 days 01:17:23.423000,2023-04-30 11:18:24.893,1,1.0,False,,False,True
0 days 01:21:01.145000,VER,1,,10.0,1.0,,0 days 01:20:59.833000,0 days 00:00:37.936000,0 days 00:00:43.428000,0 days 00:00:29.414000,0 days 01:19:48.332000,0 days 01:20:31.760000,0 days 01:21:01.174000,211.0,216.0,,317.0,False,MEDIUM,10.0,True,Red Bull Racing,0 days 01:19:10.367000,2023-04-30 11:20:11.837,12,3.0,False,,False,False
