Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:16:54.443000,NOR,4,,1.0,1.0,0 days 00:15:08.068000,,0 days 00:00:48.877000,0 days 00:00:24.492000,0 days 00:00:37.052000,0 days 00:15:52.989000,0 days 00:16:17.554000,0 days 00:16:54.443000,240.0,171.0,310.0,53.0,False,C3,1.0,True,McLaren,0 days 00:15:08.068000,2025-03-15 05:02:39.667,1,,False,,False,False
0 days 00:18:10.446000,NOR,4,,2.0,1.0,,,0 days 00:00:26.383000,0 days 00:00:17.285000,0 days 00:00:32.335000,0 days 00:17:20.826000,0 days 00:17:38.111000,0 days 00:18:10.446000,290.0,322.0,307.0,324.0,True,C3,2.0,True,McLaren,0 days 00:16:54.443000,2025-03-15 05:04:26.042,1,,False,,False,True
0 days 00:20:12.796000,NOR,4,,3.0,1.0,,0 days 00:19:55.246000,0 days 00:00:37.180000,0 days 00:00:23.115000,0 days 00:01:02.055000,0 days 00:18:47.626000,0 days 00:19:10.741000,0 days 00:20:12.796000,227.0,236.0,,272.0,False,C3,3.0,True,McLaren,0 days 00:18:10.446000,2025-03-15 05:05:42.045,1,,False,,False,False
0 days 00:22:09.056000,NOR,4,,4.0,2.0,0 days 00:20:16.711000,,0 days 00:00:52.032000,0 days 00:00:23.199000,0 days 00:00:41.029000,0 days 00:21:04.828000,0 days 00:21:28.027000,0 days 00:22:09.056000,228.0,237.0,313.0,96.0,False,C3,4.0,False,McLaren,0 days 00:20:12.796000,2025-03-15 05:07:44.395,1,,False,,False,False
0 days 00:23:24.968000,NOR,4,,5.0,2.0,,,0 days 00:00:26.463000,0 days 00:00:17.116000,0 days 00:00:32.333000,0 days 00:22:35.519000,0 days 00:22:52.635000,0 days 00:23:24.968000,290.0,326.0,308.0,328.0,True,C3,5.0,False,McLaren,0 days 00:22:09.056000,2025-03-15 05:09:40.655,1,,False,,False,True
0 days 00:27:21.248000,NOR,4,,6.0,2.0,,0 days 00:25:05.842000,0 days 00:00:33.883000,0 days 00:00:24.282000,,0 days 00:23:58.904000,0 days 00:24:23.285000,,226.0,159.0,,274.0,False,C3,6.0,False,McLaren,0 days 00:23:24.968000,2025-03-15 05:10:56.567,12,,False,,False,False
0 days 00:29:38.405000,NOR,4,,7.0,4.0,0 days 00:27:30.951000,,0 days 00:01:14.266000,0 days 00:00:24.466000,0 days 00:00:38.425000,0 days 00:28:35.514000,0 days 00:28:59.980000,0 days 00:29:38.405000,220.0,223.0,311.0,66.0,False,C3,1.0,True,McLaren,0 days 00:27:21.248000,2025-03-15 05:14:52.847,1,,False,,False,False
0 days 00:39:00.285000,NOR,4,,8.0,4.0,,0 days 00:31:09.955000,0 days 00:00:26.600000,0 days 00:00:22.982000,,0 days 00:30:05.039000,0 days 00:30:28.073000,,251.0,117.0,,326.0,False,C3,2.0,True,McLaren,0 days 00:29:38.405000,2025-03-15 05:17:10.004,12,,False,,False,False
0 days 00:40:52.920000,NOR,4,,9.0,4.0,0 days 00:39:05.869000,,0 days 00:00:51.455000,0 days 00:00:22.688000,0 days 00:00:38.492000,0 days 00:39:51.740000,0 days 00:40:14.428000,0 days 00:40:52.920000,239.0,256.0,308.0,157.0,False,C3,3.0,True,McLaren,0 days 00:39:00.285000,2025-03-15 05:26:31.884,1,,False,,False,False
0 days 00:42:08.476000,NOR,4,,10.0,4.0,,,0 days 00:00:26.104000,0 days 00:00:17.122000,0 days 00:00:32.330000,0 days 00:41:19.024000,0 days 00:41:36.146000,0 days 00:42:08.476000,289.0,325.0,307.0,323.0,True,C3,4.0,True,McLaren,0 days 00:40:52.920000,2025-03-15 05:28:24.519,1,,False,,False,True
