Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 01:04:22.816000,VER,1,,1.0,1.0,,,,0 days 00:00:30.570000,0 days 00:00:43.417000,,0 days 01:03:39.458000,0 days 01:04:22.926000,226.0,273.0,237.0,236.0,False,MEDIUM,4.0,False,Red Bull Racing,0 days 01:02:33.771000,2023-10-08 17:03:33.776,124,1.0,False,,False,False
0 days 01:06:48.419000,VER,1,,2.0,1.0,,,0 days 00:00:56.965000,0 days 00:00:45.684000,0 days 00:00:42.954000,0 days 01:05:19.835000,0 days 01:06:05.519000,0 days 01:06:48.473000,170.0,147.0,200.0,145.0,True,MEDIUM,5.0,False,Red Bull Racing,0 days 01:04:22.816000,2023-10-08 17:05:22.821,4,1.0,False,,False,False
0 days 01:09:14.382000,VER,1,,3.0,1.0,,,0 days 00:00:56.379000,0 days 00:00:46.050000,0 days 00:00:43.534000,0 days 01:07:44.852000,0 days 01:08:30.902000,0 days 01:09:14.436000,181.0,211.0,174.0,162.0,False,MEDIUM,6.0,False,Red Bull Racing,0 days 01:06:48.419000,2023-10-08 17:07:48.424,4,1.0,False,,False,False
0 days 01:11:47.524000,VER,1,,4.0,1.0,,,0 days 00:00:50.072000,0 days 00:00:46.453000,0 days 00:00:56.634000,0 days 01:10:04.547000,0 days 01:10:51.015000,0 days 01:11:47.687000,179.0,132.0,274.0,225.0,False,MEDIUM,7.0,False,Red Bull Racing,0 days 01:09:14.382000,2023-10-08 17:10:14.387,41,1.0,False,,False,False
0 days 01:13:17.797000,VER,1,,5.0,1.0,,,0 days 00:00:33.310000,0 days 00:00:30.260000,0 days 00:00:26.703000,0 days 01:12:20.888000,0 days 01:12:51.148000,0 days 01:13:17.851000,231.0,274.0,274.0,291.0,True,MEDIUM,8.0,False,Red Bull Racing,0 days 01:11:47.524000,2023-10-08 17:12:47.529,1,1.0,False,,False,True
0 days 01:14:47.206000,VER,1,,6.0,1.0,,,0 days 00:00:33.139000,0 days 00:00:29.969000,0 days 00:00:26.301000,0 days 01:13:50.990000,0 days 01:14:20.959000,0 days 01:14:47.260000,226.0,275.0,275.0,298.0,True,MEDIUM,9.0,False,Red Bull Racing,0 days 01:13:17.797000,2023-10-08 17:14:17.802,1,1.0,False,,False,True
0 days 01:16:16.289000,VER,1,,7.0,1.0,,,0 days 00:00:32.850000,0 days 00:00:29.847000,0 days 00:00:26.386000,0 days 01:15:20.110000,0 days 01:15:49.957000,0 days 01:16:16.343000,231.0,275.0,275.0,299.0,True,MEDIUM,10.0,False,Red Bull Racing,0 days 01:14:47.206000,2023-10-08 17:15:47.211,1,1.0,False,,False,True
0 days 01:17:45.651000,VER,1,,8.0,1.0,,,0 days 00:00:33.037000,0 days 00:00:29.899000,0 days 00:00:26.426000,0 days 01:16:49.380000,0 days 01:17:19.279000,0 days 01:17:45.705000,229.0,275.0,275.0,301.0,False,MEDIUM,11.0,False,Red Bull Racing,0 days 01:16:16.289000,2023-10-08 17:17:16.294,1,1.0,False,,False,True
0 days 01:19:14.977000,VER,1,,9.0,1.0,,,0 days 00:00:33.034000,0 days 00:00:29.860000,0 days 00:00:26.432000,0 days 01:18:18.739000,0 days 01:18:48.599000,0 days 01:19:15.031000,230.0,276.0,275.0,,False,MEDIUM,12.0,False,Red Bull Racing,0 days 01:17:45.651000,2023-10-08 17:18:45.656,1,1.0,False,,False,True
0 days 01:20:44.434000,VER,1,,10.0,1.0,,,0 days 00:00:33.020000,0 days 00:00:29.859000,0 days 00:00:26.578000,0 days 01:19:48.051000,0 days 01:20:17.910000,0 days 01:20:44.488000,229.0,276.0,274.0,300.0,False,MEDIUM,13.0,False,Red Bull Racing,0 days 01:19:14.977000,2023-10-08 17:20:14.982,1,1.0,False,,False,True
