Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:50.765000,25.9,51.0,1009.5,False,31.8,303,1.3
0 days 00:01:50.812000,26.0,51.0,1009.5,False,31.8,322,1.7
0 days 00:02:50.811000,26.0,51.0,1009.5,False,31.8,320,1.8
0 days 00:03:50.795000,26.0,51.0,1009.5,False,31.6,337,2.2
0 days 00:04:50.794000,26.0,51.0,1009.5,False,31.5,318,1.8
0 days 00:05:50.809000,25.9,51.0,1009.5,False,31.4,311,1.7
0 days 00:06:50.808000,26.0,51.0,1009.5,False,31.5,322,2.0
0 days 00:07:50.823000,26.0,51.0,1009.5,False,31.1,325,2.5
0 days 00:08:50.822000,25.9,51.0,1009.5,False,31.2,327,2.4
0 days 00:09:50.837000,25.9,51.0,1009.5,False,31.2,309,1.8
0 days 00:10:50.852000,25.9,51.0,1009.5,False,31.5,319,1.5
0 days 00:11:50.852000,26.0,51.0,1009.5,False,31.3,304,1.6
0 days 00:12:50.851000,26.0,51.0,1009.5,False,31.3,325,1.7
0 days 00:13:50.850000,26.0,51.0,1009.5,False,31.3,305,2.2
0 days 00:14:50.850000,25.9,51.0,1009.5,False,31.3,316,2.5
0 days 00:15:50.849000,25.9,51.0,1009.5,False,31.3,312,1.7
0 days 00:16:50.848000,25.9,51.0,1009.5,False,31.2,325,1.7
0 days 00:17:50.863000,25.9,51.0,1009.7,False,31.3,326,1.8
0 days 00:18:50.862000,25.9,50.0,1009.5,False,31.4,325,1.7
0 days 00:19:50.893000,26.0,51.0,1009.5,False,31.3,308,1.8
0 days 00:20:50.892000,26.1,51.0,1009.5,False,31.4,267,0.3
0 days 00:21:50.876000,26.2,50.0,1009.7,False,31.6,318,0.6
0 days 00:22:50.891000,26.3,50.0,1009.7,False,31.7,331,0.5
0 days 00:23:50.875000,26.3,50.0,1009.7,False,31.7,294,0.6
0 days 00:24:50.890000,26.4,49.0,1009.7,False,31.7,277,0.8
0 days 00:25:50.889000,26.4,49.0,1009.7,False,31.6,11,0.8
0 days 00:26:50.904000,26.5,49.0,1009.5,False,31.6,314,1.2
0 days 00:27:50.934000,26.4,49.0,1009.5,False,31.2,360,1.5
0 days 00:28:50.949000,26.4,49.0,1009.5,False,30.9,312,0.8
0 days 00:29:50.933000,26.4,49.0,1009.7,False,30.9,299,1.7
0 days 00:30:50.932000,26.4,49.0,1009.5,False,31.5,315,1.8
0 days 00:31:50.932000,26.3,50.0,1009.5,False,31.0,296,1.2
0 days 00:32:50.931000,26.3,50.0,1009.5,False,31.0,321,1.6
0 days 00:33:50.930000,26.2,50.0,1009.7,False,31.0,314,1.7
0 days 00:34:50.930000,26.1,50.0,1009.7,False,30.9,320,1.7
0 days 00:35:50.929000,26.0,50.0,1009.5,False,30.8,307,2.0
0 days 00:36:50.928000,26.0,50.0,1009.5,False,30.8,319,2.0
0 days 00:37:50.927000,26.0,50.0,1009.7,False,30.8,327,1.1
0 days 00:38:50.927000,26.0,50.0,1009.5,False,30.8,302,0.6
0 days 00:39:50.926000,26.0,50.0,1009.7,False,30.9,302,1.2
0 days 00:40:50.925000,26.1,50.0,1009.7,False,31.0,274,0.8
0 days 00:41:50.925000,26.1,50.0,1009.7,False,31.0,51,0.6
0 days 00:42:50.940000,26.1,50.0,1009.7,False,31.0,299,0.6
0 days 00:43:50.970000,26.1,49.0,1009.7,False,31.0,47,1.1
0 days 00:44:50.985000,26.1,50.0,1009.7,False,31.0,293,0.8
0 days 00:45:50.984000,26.1,50.0,1009.7,False,31.0,296,0.6
0 days 00:46:51.015000,26.3,49.0,1009.7,False,30.8,101,1.3
0 days 00:47:51.014000,26.2,49.0,1009.7,False,31.0,312,0.8
0 days 00:48:51.014000,26.3,49.0,1009.7,False,31.0,0,1.0
0 days 00:49:51.013000,26.3,49.0,1009.7,False,31.0,287,0.6
0 days 00:50:51.012000,26.4,49.0,1009.7,False,31.0,333,0.8
0 days 00:51:51.043000,26.3,49.0,1009.7,False,30.8,302,0.8
0 days 00:52:51.089000,26.2,49.0,1009.7,False,30.6,11,1.0
0 days 00:53:51.057000,26.1,49.0,1009.7,False,30.8,327,0.6
0 days 00:54:51.056000,26.1,49.0,1009.7,False,30.8,316,0.6
0 days 00:55:51.056000,26.0,49.0,1009.7,False,30.8,288,2.0
0 days 00:56:51.055000,26.0,49.0,1009.7,False,30.6,308,2.0
0 days 00:57:51.054000,26.1,49.0,1009.7,False,30.6,322,2.0
0 days 00:58:51.694000,26.1,50.0,1009.7,False,30.6,314,1.6
0 days 00:59:51.053000,26.1,50.0,1009.7,False,30.6,284,1.1
0 days 01:00:51.052000,26.2,50.0,1009.7,False,30.8,55,0.8
0 days 01:01:51.052000,26.3,49.0,1009.7,False,31.1,301,0.6
0 days 01:02:51.051000,26.4,49.0,1009.7,False,31.1,264,1.1
0 days 01:03:51.050000,26.5,49.0,1009.9,False,31.0,290,0.8
0 days 01:04:51.050000,26.5,49.0,1009.9,False,31.0,291,0.8
0 days 01:05:51.049000,26.5,49.0,1009.9,False,30.9,116,1.1
0 days 01:06:51.079000,26.5,49.0,1009.9,False,31.0,0,0.5
0 days 01:07:51.063000,26.5,49.0,1009.9,False,31.0,263,0.5
0 days 01:08:51.062000,26.5,49.0,1010.0,False,30.8,284,1.1
0 days 01:09:51.062000,26.5,49.0,1009.9,False,30.5,181,1.7
0 days 01:10:51.077000,26.5,49.0,1009.7,False,30.5,111,1.0
0 days 01:11:51.076000,26.4,50.0,1010.0,False,30.5,125,0.5
0 days 01:12:51.092000,26.5,50.0,1010.0,False,30.7,55,0.8
0 days 01:13:51.121000,26.5,50.0,1010.0,False,30.7,252,0.8
0 days 01:14:51.105000,26.5,50.0,1010.0,False,30.6,262,0.8
0 days 01:15:51.104000,26.5,50.0,1010.0,False,30.6,184,0.6
0 days 01:16:51.104000,26.5,50.0,1010.0,False,30.5,270,1.2
0 days 01:17:51.103000,26.5,50.0,1010.0,False,30.4,291,1.2
0 days 01:18:51.118000,26.5,50.0,1010.0,False,30.4,44,1.0
0 days 01:19:51.133000,26.4,50.0,1010.0,False,30.4,301,0.6
0 days 01:20:51.132000,26.3,50.0,1010.0,False,30.5,336,0.8
0 days 01:21:51.132000,26.2,51.0,1010.0,False,30.3,319,0.8
0 days 01:22:51.131000,26.3,51.0,1010.0,False,30.4,321,1.6
