Time,Driver,DriverNumber,LapTime,LapNumber,Stint,PitOutTime,PitInTime,Sector1Time,Sector2Time,Sector3Time,Sector1SessionTime,Sector2SessionTime,Sector3SessionTime,SpeedI1,SpeedI2,SpeedFL,SpeedST,IsPersonalBest,Compound,TyreLife,FreshTyre,Team,LapStartTime,LapStartDate,TrackStatus,Position,Deleted,DeletedReason,FastF1Generated,IsAccurate
0 days 00:18:24.591000,VER,1,,1.0,1.0,0 days 00:16:37.317000,,,0 days 00:00:32.164000,0 days 00:00:38.268000,,0 days 00:17:46.519000,0 days 00:18:24.691000,270.0,221.0,307.0,273.0,False,MEDIUM,1.0,True,Red Bull Racing,0 days 00:16:37.317000,2023-03-17 17:01:37.332,1,,False,,False,False
0 days 00:20:19.346000,VER,1,,2.0,1.0,,,0 days 00:00:40.590000,0 days 00:00:36.471000,0 days 00:00:37.694000,0 days 00:19:05.181000,0 days 00:19:41.652000,0 days 00:20:19.346000,235.0,237.0,305.0,213.0,True,MEDIUM,2.0,True,Red Bull Racing,0 days 00:18:24.591000,2023-03-17 17:03:24.606,1,,False,,False,True
0 days 00:21:50.147000,VER,1,,3.0,1.0,,,0 days 00:00:33.125000,0 days 00:00:28.640000,0 days 00:00:29.036000,0 days 00:20:52.471000,0 days 00:21:21.111000,0 days 00:21:50.147000,288.0,327.0,306.0,330.0,True,MEDIUM,3.0,True,Red Bull Racing,0 days 00:20:19.346000,2023-03-17 17:05:19.361,1,,False,,False,True
0 days 00:24:16.513000,VER,1,,4.0,1.0,,,0 days 00:00:55.106000,0 days 00:00:52.997000,0 days 00:00:38.263000,0 days 00:22:45.253000,0 days 00:23:38.250000,0 days 00:24:16.513000,137.0,216.0,305.0,246.0,False,MEDIUM,4.0,True,Red Bull Racing,0 days 00:21:50.147000,2023-03-17 17:06:50.162,1,,False,,False,True
0 days 00:25:46.571000,VER,1,,5.0,1.0,,,0 days 00:00:32.775000,0 days 00:00:28.507000,0 days 00:00:28.776000,0 days 00:24:49.288000,0 days 00:25:17.795000,0 days 00:25:46.571000,289.0,326.0,308.0,333.0,True,MEDIUM,5.0,True,Red Bull Racing,0 days 00:24:16.513000,2023-03-17 17:09:16.528,1,,False,,False,True
0 days 00:28:29.696000,VER,1,,6.0,1.0,,,0 days 00:01:04.980000,0 days 00:00:58.925000,0 days 00:00:39.212000,0 days 00:26:51.732000,0 days 00:27:50.731000,0 days 00:28:29.778000,85.0,118.0,308.0,238.0,False,MEDIUM,6.0,True,Red Bull Racing,0 days 00:25:46.571000,2023-03-17 17:10:46.586,12,,False,,False,False
0 days 00:29:59.648000,VER,1,,7.0,1.0,,,0 days 00:00:32.895000,0 days 00:00:28.487000,0 days 00:00:28.570000,0 days 00:29:02.591000,0 days 00:29:31.078000,0 days 00:29:59.648000,289.0,325.0,304.0,330.0,True,MEDIUM,7.0,True,Red Bull Racing,0 days 00:28:29.696000,2023-03-17 17:13:29.711,1,,False,,False,True
0 days 00:31:41.510000,VER,1,,8.0,1.0,,0 days 00:31:40.416000,0 days 00:00:36.412000,0 days 00:00:31.384000,0 days 00:00:34.066000,0 days 00:30:36.060000,0 days 00:31:07.444000,0 days 00:31:41.510000,265.0,287.0,,292.0,False,MEDIUM,8.0,True,Red Bull Racing,0 days 00:29:59.648000,2023-03-17 17:14:59.663,1,,False,,False,False
0 days 00:39:13.651000,VER,1,,9.0,2.0,0 days 00:37:20.272000,,,0 days 00:00:35.068000,0 days 00:00:42.498000,,0 days 00:38:31.380000,0 days 00:39:13.708000,198.0,282.0,307.0,236.0,False,SOFT,1.0,True,Red Bull Racing,0 days 00:31:41.510000,2023-03-17 17:16:41.525,1,,False,,False,False
0 days 00:41:21.342000,VER,1,,10.0,2.0,,,0 days 00:00:32.804000,0 days 00:00:48.171000,0 days 00:00:46.716000,0 days 00:39:46.455000,0 days 00:40:34.626000,0 days 00:41:21.342000,289.0,167.0,247.0,167.0,False,SOFT,2.0,True,Red Bull Racing,0 days 00:39:13.651000,2023-03-17 17:24:13.666,12,,False,,False,True
0 days 00:43:24.491000,VER,1,,11.0,2.0,,,0 days 00:00:44.684000,0 days 00:00:32.631000,0 days 00:00:45.834000,0 days 00:42:06.026000,0 days 00:42:38.657000,0 days 00:43:24.491000,271.0,261.0,308.0,254.0,False,SOFT,3.0,True,Red Bull Racing,0 days 00:41:21.342000,2023-03-17 17:26:21.357,1,,False,,False,True
0 days 00:44:54.094000,VER,1,,12.0,2.0,,,0 days 00:00:32.619000,0 days 00:00:28.401000,0 days 00:00:28.583000,0 days 00:43:57.110000,0 days 00:44:25.511000,0 days 00:44:54.094000,291.0,326.0,309.0,331.0,True,SOFT,4.0,True,Red Bull Racing,0 days 00:43:24.491000,2023-03-17 17:28:24.506,1,,False,,False,True
0 days 00:46:37.137000,VER,1,,13.0,2.0,,0 days 00:46:36.031000,0 days 00:00:37.458000,0 days 00:00:31.121000,0 days 00:00:34.464000,0 days 00:45:31.552000,0 days 00:46:02.673000,0 days 00:46:37.137000,267.0,278.0,,287.0,False,SOFT,5.0,True,Red Bull Racing,0 days 00:44:54.094000,2023-03-17 17:29:54.109,1,,False,,False,False
0 days 00:55:17.541000,VER,1,,14.0,3.0,0 days 00:53:31.135000,,,0 days 00:00:30.509000,0 days 00:00:30.282000,,0 days 00:54:47.416000,0 days 00:55:17.603000,279.0,293.0,289.0,305.0,False,SOFT,6.0,False,Red Bull Racing,0 days 00:46:37.137000,2023-03-17 17:31:37.152,1,,False,,False,False
0 days 00:56:52.961000,VER,1,,15.0,3.0,,,0 days 00:00:35.193000,0 days 00:00:30.160000,0 days 00:00:30.067000,0 days 00:55:52.734000,0 days 00:56:22.894000,0 days 00:56:52.961000,283.0,297.0,290.0,307.0,False,SOFT,7.0,False,Red Bull Racing,0 days 00:55:17.541000,2023-03-17 17:40:17.556,1,,False,,False,True
0 days 00:58:28.095000,VER,1,,16.0,3.0,,,0 days 00:00:35.142000,0 days 00:00:30.037000,0 days 00:00:29.955000,0 days 00:57:28.103000,0 days 00:57:58.140000,0 days 00:58:28.095000,,299.0,290.0,305.0,False,SOFT,8.0,False,Red Bull Racing,0 days 00:56:52.961000,2023-03-17 17:41:52.976,1,,False,,False,True
0 days 01:00:03.144000,VER,1,,17.0,3.0,,,0 days 00:00:34.968000,0 days 00:00:30.019000,0 days 00:00:30.062000,0 days 00:59:03.063000,0 days 00:59:33.082000,0 days 01:00:03.144000,,297.0,290.0,309.0,False,SOFT,9.0,False,Red Bull Racing,0 days 00:58:28.095000,2023-03-17 17:43:28.110,1,,False,,False,True
0 days 01:01:38.370000,VER,1,,18.0,3.0,,,0 days 00:00:35.168000,0 days 00:00:29.969000,0 days 00:00:30.089000,0 days 01:00:38.312000,0 days 01:01:08.281000,0 days 01:01:38.370000,284.0,299.0,292.0,312.0,False,SOFT,10.0,False,Red Bull Racing,0 days 01:00:03.144000,2023-03-17 17:45:03.159,1,,False,,False,True
0 days 01:03:13.397000,VER,1,,19.0,3.0,,,0 days 00:00:34.993000,0 days 00:00:29.940000,0 days 00:00:30.094000,0 days 01:02:13.363000,0 days 01:02:43.303000,0 days 01:03:13.397000,285.0,299.0,292.0,313.0,False,SOFT,11.0,False,Red Bull Racing,0 days 01:01:38.370000,2023-03-17 17:46:38.385,1,,False,,False,True
0 days 01:04:48.595000,VER,1,,20.0,3.0,,,0 days 00:00:35.068000,0 days 00:00:30.060000,0 days 00:00:30.070000,0 days 01:03:48.465000,0 days 01:04:18.525000,0 days 01:04:48.595000,,302.0,293.0,312.0,False,SOFT,12.0,False,Red Bull Racing,0 days 01:03:13.397000,2023-03-17 17:48:13.412,1,,False,,False,True
0 days 01:06:26.859000,VER,1,,21.0,3.0,,,0 days 00:00:35.248000,0 days 00:00:30.108000,0 days 00:00:32.908000,0 days 01:05:23.843000,0 days 01:05:53.951000,0 days 01:06:26.859000,282.0,303.0,294.0,292.0,False,SOFT,13.0,False,Red Bull Racing,0 days 01:04:48.595000,2023-03-17 17:49:48.610,1,,False,,False,True
0 days 01:08:01.883000,VER,1,,22.0,3.0,,,0 days 00:00:34.945000,0 days 00:00:30.070000,0 days 00:00:30.009000,0 days 01:07:01.804000,0 days 01:07:31.874000,0 days 01:08:01.883000,,300.0,293.0,311.0,False,SOFT,14.0,False,Red Bull Racing,0 days 01:06:26.859000,2023-03-17 17:51:26.874,1,,False,,False,True
0 days 01:09:37.293000,VER,1,,23.0,3.0,,,0 days 00:00:35.107000,0 days 00:00:30.227000,0 days 00:00:30.076000,0 days 01:08:36.990000,0 days 01:09:07.217000,0 days 01:09:37.293000,278.0,303.0,295.0,307.0,False,SOFT,15.0,False,Red Bull Racing,0 days 01:08:01.883000,2023-03-17 17:53:01.898,1,,False,,False,True
0 days 01:11:12.962000,VER,1,,24.0,3.0,,,0 days 00:00:35.049000,0 days 00:00:30.130000,0 days 00:00:30.490000,0 days 01:10:12.342000,0 days 01:10:42.472000,0 days 01:11:12.962000,283.0,280.0,291.0,326.0,False,SOFT,16.0,False,Red Bull Racing,0 days 01:09:37.293000,2023-03-17 17:54:37.308,1,,False,,False,True
0 days 01:12:48.167000,VER,1,,25.0,3.0,,,0 days 00:00:34.989000,0 days 00:00:30.057000,0 days 00:00:30.159000,0 days 01:11:47.951000,0 days 01:12:18.008000,0 days 01:12:48.167000,284.0,301.0,294.0,311.0,False,SOFT,17.0,False,Red Bull Racing,0 days 01:11:12.962000,2023-03-17 17:56:12.977,1,,False,,False,True
0 days 01:14:23.191000,VER,1,,26.0,3.0,,,0 days 00:00:34.892000,0 days 00:00:30.028000,0 days 00:00:30.104000,0 days 01:13:23.059000,0 days 01:13:53.087000,0 days 01:14:23.191000,,301.0,294.0,309.0,False,SOFT,18.0,False,Red Bull Racing,0 days 01:12:48.167000,2023-03-17 17:57:48.182,1,,False,,False,True
0 days 01:15:58.403000,VER,1,,27.0,3.0,,,0 days 00:00:34.895000,0 days 00:00:30.125000,0 days 00:00:30.192000,0 days 01:14:58.086000,0 days 01:15:28.211000,0 days 01:15:58.403000,285.0,299.0,293.0,310.0,False,SOFT,19.0,False,Red Bull Racing,0 days 01:14:23.191000,2023-03-17 17:59:23.206,1,,False,,False,True
0 days 01:18:49.352000,VER,1,,28.0,3.0,,,0 days 00:00:48.017000,0 days 00:00:46.544000,0 days 00:01:16.345000,0 days 01:16:46.635000,0 days 01:17:33.181000,0 days 01:18:49.352000,157.0,133.0,72.0,107.0,False,SOFT,20.0,False,Red Bull Racing,0 days 01:15:58.403000,2023-03-17 18:00:58.418,126,,False,,False,False
0 days 01:21:39.445000,VER,1,,29.0,3.0,,0 days 01:21:38.179000,0 days 00:01:23.295000,0 days 00:00:43.357000,0 days 00:00:43.413000,0 days 01:20:12.742000,0 days 01:20:56.101000,0 days 01:21:39.445000,182.0,177.0,,184.0,False,SOFT,21.0,False,Red Bull Racing,0 days 01:18:49.352000,2023-03-17 18:03:49.367,6,,False,,False,False
0 days 00:17:00.072000,SAR,2,,1.0,1.0,0 days 00:15:06.646000,,,0 days 00:00:33.864000,0 days 00:00:32.087000,,0 days 00:16:28.177000,0 days 00:17:00.192000,271.0,309.0,302.0,309.0,False,HARD,1.0,True,Williams,0 days 00:15:06.646000,2023-03-17 17:00:06.661,1,,False,,False,False
0 days 00:18:33.863000,SAR,2,,2.0,1.0,,,0 days 00:00:34.943000,0 days 00:00:29.583000,0 days 00:00:29.265000,0 days 00:17:35.015000,0 days 00:18:04.598000,0 days 00:18:33.863000,283.0,322.0,304.0,328.0,True,HARD,2.0,True,Williams,0 days 00:17:00.072000,2023-03-17 17:02:00.087,1,,False,,False,True
0 days 00:20:24.673000,SAR,2,,3.0,1.0,,,0 days 00:00:44.478000,0 days 00:00:33.824000,0 days 00:00:32.508000,0 days 00:19:18.341000,0 days 00:19:52.165000,0 days 00:20:24.673000,254.0,294.0,304.0,309.0,False,HARD,3.0,True,Williams,0 days 00:18:33.863000,2023-03-17 17:03:33.878,1,,False,,False,True
0 days 00:21:57.889000,SAR,2,,4.0,1.0,,,0 days 00:00:34.332000,0 days 00:00:29.396000,0 days 00:00:29.488000,0 days 00:20:59.005000,0 days 00:21:28.401000,0 days 00:21:57.889000,285.0,324.0,306.0,329.0,True,HARD,4.0,True,Williams,0 days 00:20:24.673000,2023-03-17 17:05:24.688,1,,False,,False,True
0 days 00:24:02.578000,SAR,2,,5.0,1.0,,,0 days 00:00:50.038000,0 days 00:00:38.873000,0 days 00:00:35.778000,0 days 00:22:47.927000,0 days 00:23:26.800000,0 days 00:24:02.578000,248.0,173.0,301.0,294.0,False,HARD,5.0,True,Williams,0 days 00:21:57.889000,2023-03-17 17:06:57.904,1,,False,,False,True
0 days 00:25:34.560000,SAR,2,,6.0,1.0,,,0 days 00:00:34.031000,0 days 00:00:29.031000,0 days 00:00:28.920000,0 days 00:24:36.609000,0 days 00:25:05.640000,0 days 00:25:34.560000,288.0,325.0,307.0,330.0,True,HARD,6.0,True,Williams,0 days 00:24:02.578000,2023-03-17 17:09:02.593,1,,False,,False,True
0 days 00:27:18.671000,SAR,2,,7.0,1.0,,0 days 00:27:17.607000,0 days 00:00:36.411000,0 days 00:00:31.480000,0 days 00:00:36.220000,0 days 00:26:10.971000,0 days 00:26:42.451000,0 days 00:27:18.671000,263.0,296.0,,249.0,False,HARD,7.0,True,Williams,0 days 00:25:34.560000,2023-03-17 17:10:34.575,12,,False,,False,False
0 days 00:34:51.676000,SAR,2,,8.0,2.0,0 days 00:32:58.775000,,,0 days 00:00:34.008000,0 days 00:00:39.293000,,0 days 00:34:12.571000,0 days 00:34:51.758000,275.0,270.0,297.0,110.0,False,SOFT,1.0,True,Williams,0 days 00:27:18.671000,2023-03-17 17:12:18.686,1,,False,,False,False
0 days 00:36:23.173000,SAR,2,,9.0,2.0,,,0 days 00:00:33.722000,0 days 00:00:28.993000,0 days 00:00:28.782000,0 days 00:35:25.398000,0 days 00:35:54.391000,0 days 00:36:23.173000,286.0,322.0,300.0,326.0,True,SOFT,2.0,True,Williams,0 days 00:34:51.676000,2023-03-17 17:19:51.691,1,,False,,False,True
0 days 00:38:42.201000,SAR,2,,10.0,2.0,,,0 days 00:00:47.681000,0 days 00:00:38.712000,0 days 00:00:52.635000,0 days 00:37:10.854000,0 days 00:37:49.566000,0 days 00:38:42.201000,217.0,285.0,301.0,212.0,False,SOFT,3.0,True,Williams,0 days 00:36:23.173000,2023-03-17 17:21:23.188,1,,False,,False,True
0 days 00:40:13.160000,SAR,2,,11.0,2.0,,,0 days 00:00:33.245000,0 days 00:00:28.851000,0 days 00:00:28.863000,0 days 00:39:15.446000,0 days 00:39:44.297000,0 days 00:40:13.160000,287.0,322.0,302.0,328.0,True,SOFT,4.0,True,Williams,0 days 00:38:42.201000,2023-03-17 17:23:42.216,12,,False,,False,True
0 days 00:42:30.007000,SAR,2,,12.0,2.0,,,0 days 00:00:50.444000,0 days 00:00:43.272000,0 days 00:00:43.131000,0 days 00:41:03.604000,0 days 00:41:46.876000,0 days 00:42:30.007000,253.0,228.0,305.0,159.0,False,SOFT,5.0,True,Williams,0 days 00:40:13.160000,2023-03-17 17:25:13.175,1,,False,,False,True
0 days 00:44:45.517000,SAR,2,,13.0,2.0,,,0 days 00:00:47.580000,0 days 00:00:39.651000,0 days 00:00:48.279000,0 days 00:43:17.587000,0 days 00:43:57.238000,0 days 00:44:45.517000,236.0,255.0,301.0,157.0,False,SOFT,6.0,True,Williams,0 days 00:42:30.007000,2023-03-17 17:27:30.022,1,,False,,False,True
0 days 00:46:20.710000,SAR,2,,14.0,2.0,,0 days 00:46:19.594000,0 days 00:00:33.595000,0 days 00:00:28.976000,0 days 00:00:32.622000,0 days 00:45:19.112000,0 days 00:45:48.088000,0 days 00:46:20.710000,288.0,324.0,,328.0,False,SOFT,7.0,True,Williams,0 days 00:44:45.517000,2023-03-17 17:29:45.532,1,,False,,False,False
0 days 00:54:54.450000,SAR,2,,15.0,3.0,0 days 00:52:59.870000,,,0 days 00:00:30.515000,0 days 00:00:30.501000,,0 days 00:54:24.088000,0 days 00:54:54.463000,277.0,292.0,287.0,295.0,False,SOFT,8.0,False,Williams,0 days 00:46:20.710000,2023-03-17 17:31:20.725,1,,False,,False,False
0 days 00:56:30.460000,SAR,2,,16.0,3.0,,,0 days 00:00:35.271000,0 days 00:00:30.325000,0 days 00:00:30.414000,0 days 00:55:29.721000,0 days 00:56:00.046000,0 days 00:56:30.460000,280.0,302.0,291.0,299.0,False,SOFT,9.0,False,Williams,0 days 00:54:54.450000,2023-03-17 17:39:54.465,1,,False,,False,True
0 days 00:58:09.289000,SAR,2,,17.0,3.0,,0 days 00:58:08.039000,0 days 00:00:35.411000,0 days 00:00:30.507000,0 days 00:00:32.911000,0 days 00:57:05.871000,0 days 00:57:36.378000,0 days 00:58:09.289000,282.0,307.0,,305.0,False,SOFT,10.0,False,Williams,0 days 00:56:30.460000,2023-03-17 17:41:30.475,1,,False,,False,False
0 days 01:00:15.020000,SAR,2,,18.0,4.0,0 days 00:58:35.194000,,0 days 00:01:05.019000,0 days 00:00:30.446000,0 days 00:00:30.266000,0 days 00:59:14.308000,0 days 00:59:44.754000,0 days 01:00:15.020000,277.0,302.0,290.0,303.0,False,HARD,8.0,False,Williams,0 days 00:58:09.289000,2023-03-17 17:43:09.304,1,,False,,False,False
0 days 01:01:51.076000,SAR,2,,19.0,4.0,,,0 days 00:00:35.486000,0 days 00:00:30.320000,0 days 00:00:30.250000,0 days 01:00:50.506000,0 days 01:01:20.826000,0 days 01:01:51.076000,279.0,300.0,292.0,303.0,False,HARD,9.0,False,Williams,0 days 01:00:15.020000,2023-03-17 17:45:15.035,1,,False,,False,True
0 days 01:03:26.856000,SAR,2,,20.0,4.0,,,0 days 00:00:35.343000,0 days 00:00:30.193000,0 days 00:00:30.244000,0 days 01:02:26.419000,0 days 01:02:56.612000,0 days 01:03:26.856000,280.0,307.0,292.0,303.0,False,HARD,10.0,False,Williams,0 days 01:01:51.076000,2023-03-17 17:46:51.091,1,,False,,False,True
0 days 01:05:02.976000,SAR,2,,21.0,4.0,,,0 days 00:00:35.569000,0 days 00:00:30.258000,0 days 00:00:30.293000,0 days 01:04:02.425000,0 days 01:04:32.683000,0 days 01:05:02.976000,281.0,307.0,291.0,304.0,False,HARD,11.0,False,Williams,0 days 01:03:26.856000,2023-03-17 17:48:26.871,1,,False,,False,True
0 days 01:06:40.289000,SAR,2,,22.0,4.0,,,0 days 00:00:36.548000,0 days 00:00:30.281000,0 days 00:00:30.484000,0 days 01:05:39.524000,0 days 01:06:09.805000,0 days 01:06:40.289000,,312.0,295.0,312.0,False,HARD,12.0,False,Williams,0 days 01:05:02.976000,2023-03-17 17:50:02.991,1,,False,,False,True
0 days 01:08:17.040000,SAR,2,,23.0,4.0,,,0 days 00:00:35.898000,0 days 00:00:30.397000,0 days 00:00:30.456000,0 days 01:07:16.187000,0 days 01:07:46.584000,0 days 01:08:17.040000,282.0,305.0,292.0,306.0,False,HARD,13.0,False,Williams,0 days 01:06:40.289000,2023-03-17 17:51:40.304,1,,False,,False,True
0 days 01:09:53.679000,SAR,2,,24.0,4.0,,,0 days 00:00:35.857000,0 days 00:00:30.439000,0 days 00:00:30.343000,0 days 01:08:52.897000,0 days 01:09:23.336000,0 days 01:09:53.679000,,307.0,294.0,308.0,False,HARD,14.0,False,Williams,0 days 01:08:17.040000,2023-03-17 17:53:17.055,1,,False,,False,True
0 days 01:11:29.995000,SAR,2,,25.0,4.0,,,0 days 00:00:35.710000,0 days 00:00:30.332000,0 days 00:00:30.274000,0 days 01:10:29.389000,0 days 01:10:59.721000,0 days 01:11:29.995000,,309.0,293.0,307.0,False,HARD,15.0,False,Williams,0 days 01:09:53.679000,2023-03-17 17:54:53.694,1,,False,,False,True
0 days 01:13:06.085000,SAR,2,,26.0,4.0,,,0 days 00:00:35.444000,0 days 00:00:30.335000,0 days 00:00:30.311000,0 days 01:12:05.439000,0 days 01:12:35.774000,0 days 01:13:06.085000,283.0,304.0,294.0,305.0,False,HARD,16.0,False,Williams,0 days 01:11:29.995000,2023-03-17 17:56:30.010,1,,False,,False,True
0 days 01:14:41.991000,SAR,2,,27.0,4.0,,,0 days 00:00:35.522000,0 days 00:00:30.196000,0 days 00:00:30.188000,0 days 01:13:41.607000,0 days 01:14:11.803000,0 days 01:14:41.991000,284.0,308.0,294.0,304.0,False,HARD,17.0,False,Williams,0 days 01:13:06.085000,2023-03-17 17:58:06.100,1,,False,,False,True
0 days 01:16:17.903000,SAR,2,,28.0,4.0,,,0 days 00:00:35.484000,0 days 00:00:30.185000,0 days 00:00:30.243000,0 days 01:15:17.475000,0 days 01:15:47.660000,0 days 01:16:17.903000,,309.0,293.0,306.0,False,HARD,18.0,False,Williams,0 days 01:14:41.991000,2023-03-17 17:59:42.006,1,,False,,False,True
0 days 01:19:05.821000,SAR,2,,29.0,4.0,,,0 days 00:00:53.051000,0 days 00:00:42.880000,0 days 00:01:12.005000,0 days 01:17:11.072000,0 days 01:17:53.931000,0 days 01:19:05.821000,257.0,162.0,39.0,179.0,False,HARD,19.0,False,Williams,0 days 01:16:17.903000,2023-03-17 18:01:17.918,126,,False,,False,False
0 days 01:21:54.569000,SAR,2,,30.0,4.0,,0 days 01:21:53.415000,0 days 00:01:17.086000,0 days 00:00:44.267000,0 days 00:00:47.377000,0 days 01:20:23.023000,0 days 01:21:07.335000,0 days 01:21:54.569000,214.0,255.0,,274.0,False,HARD,20.0,False,Williams,0 days 01:19:05.821000,2023-03-17 18:04:05.836,6,,False,,False,False
0 days 00:17:45.236000,NOR,4,,1.0,1.0,0 days 00:15:31.287000,,,0 days 00:00:32.146000,0 days 00:00:46.085000,,0 days 00:16:59.348000,0 days 00:17:45.332000,277.0,306.0,294.0,138.0,False,HARD,1.0,True,McLaren,0 days 00:15:31.287000,2023-03-17 17:00:31.302,1,,False,,False,False
0 days 00:19:18.768000,NOR,4,,2.0,1.0,,,0 days 00:00:34.211000,0 days 00:00:29.386000,0 days 00:00:29.935000,0 days 00:18:19.447000,0 days 00:18:48.833000,0 days 00:19:18.768000,281.0,317.0,299.0,320.0,True,HARD,2.0,True,McLaren,0 days 00:17:45.236000,2023-03-17 17:02:45.251,1,,False,,False,True
0 days 00:21:56.379000,NOR,4,,3.0,1.0,,,0 days 00:00:59.238000,0 days 00:00:57.948000,0 days 00:00:40.420000,0 days 00:20:18.190000,0 days 00:21:16.158000,0 days 00:21:56.454000,144.0,264.0,295.0,237.0,False,HARD,3.0,True,McLaren,0 days 00:19:18.768000,2023-03-17 17:04:18.783,1,,False,,False,False
0 days 00:23:28.703000,NOR,4,,4.0,1.0,,,0 days 00:00:33.783000,0 days 00:00:29.115000,0 days 00:00:29.426000,0 days 00:22:30.162000,0 days 00:22:59.277000,0 days 00:23:28.703000,282.0,319.0,304.0,324.0,True,HARD,4.0,True,McLaren,0 days 00:21:56.379000,2023-03-17 17:06:56.394,1,,False,,False,True
0 days 00:25:58.550000,NOR,4,,5.0,1.0,,,0 days 00:00:55.758000,0 days 00:00:55.163000,0 days 00:00:38.926000,0 days 00:24:24.461000,0 days 00:25:19.624000,0 days 00:25:58.550000,247.0,226.0,295.0,220.0,False,HARD,5.0,True,McLaren,0 days 00:23:28.703000,2023-03-17 17:08:28.718,1,,False,,False,True
0 days 00:27:35.525000,NOR,4,,6.0,1.0,,,0 days 00:00:33.620000,0 days 00:00:28.991000,0 days 00:00:34.364000,0 days 00:26:32.170000,0 days 00:27:01.161000,0 days 00:27:35.525000,282.0,316.0,265.0,210.0,False,HARD,6.0,True,McLaren,0 days 00:25:58.550000,2023-03-17 17:10:58.565,12,,False,,False,True
0 days 00:29:29.894000,NOR,4,,7.0,1.0,,0 days 00:29:28.793000,0 days 00:00:40.425000,0 days 00:00:35.962000,0 days 00:00:37.982000,0 days 00:28:15.950000,0 days 00:28:51.912000,0 days 00:29:29.894000,159.0,239.0,,239.0,False,HARD,7.0,True,McLaren,0 days 00:27:35.525000,2023-03-17 17:12:35.540,1,,False,,False,False
0 days 00:39:00.765000,NOR,4,,8.0,2.0,0 days 00:36:58.475000,,,0 days 00:00:31.906000,0 days 00:00:48.030000,,0 days 00:38:12.865000,0 days 00:39:00.786000,248.0,300.0,296.0,193.0,False,SOFT,1.0,True,McLaren,0 days 00:29:29.894000,2023-03-17 17:14:29.909,1,,False,,False,False
0 days 00:41:10.160000,NOR,4,,9.0,2.0,,,0 days 00:00:45.659000,0 days 00:00:37.184000,0 days 00:00:46.552000,0 days 00:39:46.424000,0 days 00:40:23.608000,0 days 00:41:10.160000,158.0,259.0,299.0,80.0,False,SOFT,2.0,True,McLaren,0 days 00:39:00.765000,2023-03-17 17:24:00.780,12,,False,,False,True
0 days 00:43:06.085000,NOR,4,,10.0,2.0,,,0 days 00:00:36.310000,0 days 00:00:44.467000,0 days 00:00:35.148000,0 days 00:41:46.470000,0 days 00:42:30.937000,0 days 00:43:06.085000,172.0,235.0,299.0,218.0,False,SOFT,3.0,True,McLaren,0 days 00:41:10.160000,2023-03-17 17:26:10.175,1,,False,,False,True
0 days 00:44:36.806000,NOR,4,,11.0,2.0,,,0 days 00:00:32.923000,0 days 00:00:28.706000,0 days 00:00:29.092000,0 days 00:43:39.008000,0 days 00:44:07.714000,0 days 00:44:36.806000,285.0,318.0,302.0,320.0,True,SOFT,4.0,True,McLaren,0 days 00:43:06.085000,2023-03-17 17:28:06.100,1,,False,,False,True
0 days 00:47:02.871000,NOR,4,,12.0,2.0,,,0 days 00:00:50.995000,0 days 00:00:55.206000,0 days 00:00:39.864000,0 days 00:45:27.801000,0 days 00:46:23.007000,0 days 00:47:02.871000,117.0,178.0,296.0,163.0,False,SOFT,5.0,True,McLaren,0 days 00:44:36.806000,2023-03-17 17:29:36.821,1,,False,,False,True
0 days 00:48:39.502000,NOR,4,,13.0,2.0,,0 days 00:48:38.311000,0 days 00:00:32.883000,0 days 00:00:28.800000,0 days 00:00:34.948000,0 days 00:47:35.754000,0 days 00:48:04.554000,0 days 00:48:39.502000,285.0,318.0,,319.0,False,SOFT,6.0,True,McLaren,0 days 00:47:02.871000,2023-03-17 17:32:02.886,1,,False,,False,False
0 days 00:57:26.645000,NOR,4,,14.0,3.0,0 days 00:55:35.775000,,,0 days 00:00:30.960000,0 days 00:00:30.729000,,0 days 00:56:56.039000,0 days 00:57:26.664000,256.0,289.0,284.0,287.0,False,SOFT,7.0,False,McLaren,0 days 00:48:39.502000,2023-03-17 17:33:39.517,1,,False,,False,False
0 days 00:59:02.382000,NOR,4,,15.0,3.0,,,0 days 00:00:34.790000,0 days 00:00:30.329000,0 days 00:00:30.618000,0 days 00:58:01.435000,0 days 00:58:31.764000,0 days 00:59:02.382000,276.0,285.0,280.0,282.0,False,SOFT,8.0,False,McLaren,0 days 00:57:26.645000,2023-03-17 17:42:26.660,1,,False,,False,True
0 days 01:00:38.623000,NOR,4,,16.0,3.0,,,0 days 00:00:35.422000,0 days 00:00:30.328000,0 days 00:00:30.491000,0 days 00:59:37.804000,0 days 01:00:08.132000,0 days 01:00:38.623000,280.0,300.0,289.0,301.0,False,SOFT,9.0,False,McLaren,0 days 00:59:02.382000,2023-03-17 17:44:02.397,1,,False,,False,True
0 days 01:02:14.595000,NOR,4,,17.0,3.0,,,0 days 00:00:35.168000,0 days 00:00:30.374000,0 days 00:00:30.430000,0 days 01:01:13.791000,0 days 01:01:44.165000,0 days 01:02:14.595000,279.0,297.0,287.0,312.0,False,SOFT,10.0,False,McLaren,0 days 01:00:38.623000,2023-03-17 17:45:38.638,1,,False,,False,True
