Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:35.716000,24.9,14.0,1017.9,False,38.7,238,3.7
0 days 00:01:35.715000,24.8,15.0,1017.9,False,38.6,236,2.4
0 days 00:02:35.723000,24.8,16.0,1017.8,False,38.7,230,2.5
0 days 00:03:35.714000,24.7,16.0,1017.8,False,38.7,248,2.4
0 days 00:04:35.728000,24.7,16.0,1017.8,False,38.7,244,1.9
0 days 00:05:35.711000,24.8,14.0,1018.0,False,38.7,237,2.8
0 days 00:06:35.724000,24.8,14.0,1017.9,False,38.7,242,4.0
0 days 00:07:35.733000,24.8,14.0,1017.9,False,38.3,244,2.7
0 days 00:08:35.732000,24.9,14.0,1017.9,False,38.3,238,3.8
0 days 00:09:35.724000,24.8,14.0,1017.9,False,38.2,240,3.9
0 days 00:10:35.717000,24.8,14.0,1018.0,False,38.2,233,3.4
0 days 00:11:35.748000,24.9,15.0,1017.9,False,38.0,232,3.1
0 days 00:12:35.732000,24.9,15.0,1017.9,False,38.0,239,2.7
0 days 00:13:35.732000,24.8,15.0,1017.9,False,38.1,222,2.6
0 days 00:14:35.728000,24.8,14.0,1017.8,False,38.0,245,2.2
0 days 00:15:35.735000,24.8,15.0,1017.9,False,38.0,253,2.9
0 days 00:16:35.738000,24.8,15.0,1017.9,False,37.8,247,3.0
0 days 00:17:35.765000,24.8,15.0,1017.9,False,37.7,231,2.6
0 days 00:18:35.786000,24.8,15.0,1017.9,False,37.7,288,2.4
0 days 00:19:35.777000,24.9,14.0,1017.9,False,37.7,229,1.8
0 days 00:20:35.801000,24.9,14.0,1017.9,False,37.5,246,2.1
0 days 00:21:35.814000,24.9,14.0,1017.8,False,37.4,246,2.7
0 days 00:22:35.833000,24.9,14.0,1017.8,False,37.3,249,3.2
0 days 00:23:35.830000,24.9,15.0,1017.8,False,37.3,245,2.8
0 days 00:24:35.841000,24.9,14.0,1017.8,False,37.2,214,3.8
0 days 00:25:35.859000,24.9,15.0,1017.8,False,37.2,239,2.9
0 days 00:26:35.856000,25.0,15.0,1017.8,False,37.0,239,1.6
0 days 00:27:35.872000,24.9,15.0,1017.8,False,37.0,241,2.8
0 days 00:28:35.857000,24.9,15.0,1017.9,False,36.9,241,2.2
0 days 00:29:35.862000,24.9,15.0,1017.9,False,36.9,234,2.7
0 days 00:30:35.858000,24.9,15.0,1017.9,False,36.9,235,2.4
0 days 00:31:35.863000,24.9,14.0,1017.8,False,36.9,246,3.2
0 days 00:32:35.867000,24.9,14.0,1017.9,False,36.8,224,3.5
0 days 00:33:35.867000,24.9,14.0,1018.0,False,36.7,238,3.9
0 days 00:34:35.875000,25.0,14.0,1018.0,False,36.6,239,3.4
0 days 00:35:35.879000,24.9,13.0,1017.9,False,36.5,243,4.4
0 days 00:36:35.864000,24.9,13.0,1017.9,False,36.3,250,4.2
0 days 00:37:35.864000,24.9,13.0,1017.9,False,36.2,226,3.8
0 days 00:38:35.871000,24.8,13.0,1017.9,False,36.1,230,4.3
0 days 00:39:35.893000,24.7,14.0,1017.9,False,36.1,239,2.5
0 days 00:40:35.884000,24.7,13.0,1017.9,False,36.2,240,2.5
0 days 00:41:35.914000,24.6,13.0,1017.9,False,36.1,248,4.0
0 days 00:42:35.904000,24.6,12.0,1018.0,False,36.0,240,4.5
0 days 00:43:35.931000,24.6,13.0,1017.9,False,35.9,224,1.7
0 days 00:44:35.920000,24.7,13.0,1017.9,False,35.8,250,2.0
0 days 00:45:35.921000,24.7,12.0,1017.9,False,35.8,237,3.3
0 days 00:46:35.926000,24.7,13.0,1018.0,False,35.6,234,3.3
0 days 00:47:35.942000,24.6,13.0,1017.9,False,35.5,226,3.3
0 days 00:48:35.926000,24.6,14.0,1017.9,False,35.4,237,3.5
0 days 00:49:35.919000,24.6,13.0,1017.9,False,35.3,222,4.6
0 days 00:50:35.923000,24.6,14.0,1018.0,False,35.2,239,3.3
0 days 00:51:35.929000,24.6,13.0,1017.9,False,35.2,239,3.5
0 days 00:52:35.930000,24.6,13.0,1018.0,False,35.1,230,3.3
0 days 00:53:35.941000,24.6,12.0,1018.0,False,35.1,242,4.0
0 days 00:54:35.958000,24.6,11.0,1017.9,False,35.1,236,4.8
0 days 00:55:35.980000,24.6,13.0,1018.0,False,34.7,213,3.4
0 days 00:56:35.978000,24.6,13.0,1018.0,False,34.7,236,1.2
0 days 00:57:35.981000,24.6,13.0,1018.1,False,34.7,265,1.5
0 days 00:58:35.993000,24.6,13.0,1018.0,False,34.6,246,1.6
0 days 00:59:36.014000,24.6,13.0,1017.9,False,34.6,242,1.5
