Time,AirTemp,Humidity,Pressure,Rainfall,TrackTemp,WindDirection,WindSpeed
0 days 00:00:44.852000,19.7,38.0,1016.2,False,35.8,84,3.7
0 days 00:01:44.867000,19.8,38.0,1016.0,False,35.8,73,3.4
0 days 00:02:44.873000,19.7,38.0,1016.2,False,35.9,72,4.1
0 days 00:03:44.889000,19.7,38.0,1016.2,False,35.9,83,3.7
0 days 00:04:44.894000,19.7,38.0,1016.1,False,35.9,89,4.0
0 days 00:05:44.894000,19.6,38.0,1016.1,False,36.0,64,3.7
0 days 00:06:44.888000,19.6,38.0,1016.2,False,35.8,78,2.9
0 days 00:07:44.905000,19.5,38.0,1016.1,False,35.7,70,3.9
0 days 00:08:44.927000,19.5,38.0,1016.1,False,35.7,83,3.3
0 days 00:09:44.935000,19.5,39.0,1016.2,False,35.7,86,3.8
0 days 00:10:44.938000,19.5,39.0,1016.1,False,35.7,109,3.6
0 days 00:11:44.943000,19.5,39.0,1016.1,False,35.9,72,3.2
0 days 00:12:44.943000,19.5,38.0,1016.2,False,35.9,58,3.2
0 days 00:13:44.959000,19.6,37.0,1016.1,False,35.9,70,2.8
0 days 00:14:44.958000,19.6,36.0,1016.2,False,35.7,51,3.4
0 days 00:15:44.959000,19.6,36.0,1016.1,False,35.6,80,3.7
0 days 00:16:44.983000,19.5,37.0,1016.2,False,35.6,75,3.0
0 days 00:17:44.978000,19.5,38.0,1016.1,False,35.6,93,3.7
0 days 00:18:44.979000,19.5,38.0,1016.2,False,35.6,64,2.8
0 days 00:19:44.980000,19.5,38.0,1016.2,False,35.4,65,2.6
0 days 00:20:44.973000,19.5,37.0,1016.2,False,35.4,62,3.1
0 days 00:21:44.982000,19.4,38.0,1016.2,False,35.2,50,4.0
0 days 00:22:44.966000,19.3,38.0,1016.1,False,35.2,45,3.1
0 days 00:23:44.975000,19.6,38.0,1016.1,False,34.9,51,2.9
0 days 00:24:44.983000,19.7,38.0,1016.0,False,34.9,66,3.6
0 days 00:25:44.995000,19.8,38.0,1016.0,False,34.8,101,3.5
0 days 00:26:45,19.8,38.0,1016.0,False,34.9,54,2.7
0 days 00:27:44.992000,19.8,38.0,1016.1,False,34.9,35,3.0
0 days 00:28:45.001000,19.8,38.0,1016.1,False,34.9,93,2.1
0 days 00:29:45.002000,19.7,39.0,1016.2,False,34.9,95,2.7
0 days 00:30:45.004000,19.7,39.0,1016.1,False,35.1,81,3.6
0 days 00:31:45.020000,19.6,38.0,1016.0,False,35.1,66,2.5
0 days 00:32:45.017000,19.5,38.0,1016.2,False,34.6,86,3.0
0 days 00:33:45.060000,19.5,39.0,1016.0,False,34.5,96,3.2
